route_id,schedule_id,source_name,origin,destination,origin_country,destination_country,distance_km,duration_min,duration_minutes,duration_hours,avg_speed_kmh,is_international,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential
back_on_track_ATC IR 11501,back_on_track_ATC IR 11501,back_on_track,București Nord,Arad,RO,RO,604.0,767.0,767.0,12.783,47.25,False,night,7,90.6,faible_potentiel
back_on_track_ATC IR 11500,back_on_track_ATC IR 11500,back_on_track,Arad,București Nord,RO,RO,604.0,744.0,744.0,12.4,48.71,False,night,7,90.6,faible_potentiel
back_on_track_BDŽ 2626,back_on_track_BDŽ 2626,back_on_track,Varna,Sofia,BG,BG,533.0,485.0,485.0,8.083,65.94,False,night,7,79.95,potentiel_moyen
back_on_track_BDŽ 2627,back_on_track_BDŽ 2627,back_on_track,Sofia,Varna,BG,BG,533.0,472.0,472.0,7.867,67.75,False,night,7,79.95,potentiel_moyen
back_on_track_BDŽ 2636,back_on_track_BDŽ 2636,back_on_track,Dobrich,Sofia,BG,BG,572.0,550.0,550.0,9.167,62.4,False,night,7,85.8,potentiel_moyen
back_on_track_BDŽ 2637,back_on_track_BDŽ 2637,back_on_track,Sofia,Dobrich,BG,BG,572.0,545.0,545.0,9.083,62.97,False,night,7,85.8,potentiel_moyen
back_on_track_BDŽ 3636,back_on_track_BDŽ 3636,back_on_track,Varna,Sofia,BG,BG,513.0,560.0,560.0,9.333,54.96,False,night,7,76.95,potentiel_moyen
back_on_track_BDŽ 3637,back_on_track_BDŽ 3637,back_on_track,Sofia,Varna,BG,BG,513.0,491.0,491.0,8.183,62.69,False,night,7,76.95,potentiel_moyen
back_on_track_BDŽ 3686,back_on_track_BDŽ 3686,back_on_track,Burgas,Sofia,BG,BG,425.0,383.0,383.0,6.383,66.58,False,night,7,63.75,potentiel_moyen
back_on_track_BDŽ 3687,back_on_track_BDŽ 3687,back_on_track,Sofia,Burgas,BG,BG,425.0,375.0,375.0,6.25,68.0,False,night,7,63.75,potentiel_moyen
back_on_track_BDŽ 8626,back_on_track_BDŽ 8626,back_on_track,Burgas,Sofia,BG,BG,444.0,405.0,405.0,6.75,65.78,False,night,7,66.6,potentiel_moyen
back_on_track_BDŽ 8627,back_on_track_BDŽ 8627,back_on_track,Sofia,Burgas,BG,BG,444.0,420.0,420.0,7.0,63.43,False,night,7,66.6,potentiel_moyen
back_on_track_BDŽ 8656,back_on_track_BDŽ 8656,back_on_track,Varna,Sofia,BG,BG,539.0,555.0,555.0,9.25,58.27,False,night,7,80.85,potentiel_moyen
back_on_track_BDŽ 8657,back_on_track_BDŽ 8657,back_on_track,Sofia,Varna,BG,BG,539.0,522.0,522.0,8.7,61.95,False,night,7,80.85,potentiel_moyen
back_on_track_BDŽ 9646,back_on_track_BDŽ 9646,back_on_track,Silistra,Sofia,BG,BG,605.0,685.0,685.0,11.417,52.99,False,night,7,90.75,potentiel_moyen
back_on_track_BDŽ 9647,back_on_track_BDŽ 9647,back_on_track,Sofia,Silistra,BG,BG,605.0,675.0,675.0,11.25,53.78,False,night,7,90.75,potentiel_moyen
back_on_track_ČD EC 458,back_on_track_ČD EC 458,back_on_track,Praha hl.n.,Zürich HB,CZ,CH,915.0,940.0,940.0,15.667,58.4,True,night,7,137.25,faible_potentiel
back_on_track_ČD EN 40459,back_on_track_ČD EN 40459,back_on_track,Zürich HB,Praha hl.n.,CH,CZ,915.0,804.0,804.0,13.4,68.28,True,night,7,137.25,faible_potentiel
back_on_track_ČD EN 40476,back_on_track_ČD EN 40476,back_on_track,Budapest-Nyugati,Berlin Hbf,HU,DE,608.0,764.0,764.0,12.733,47.75,True,night,7,91.2,faible_potentiel
back_on_track_ČD EN 40457,back_on_track_ČD EN 40457,back_on_track,Praha hl.n.,Budapest Nyugati,CZ,HU,608.0,626.0,626.0,10.433,58.27,True,night,7,91.2,potentiel_moyen
back_on_track_CFR/MÁV IRN / IC 78,back_on_track_CFR/MÁV IRN / IC 78,back_on_track,București Nord,Budapest Keleti,RO,HU,858.0,950.0,950.0,15.833,54.19,True,night,7,128.7,faible_potentiel
back_on_track_CFR/MÁV IRN / IC 79,back_on_track_CFR/MÁV IRN / IC 79,back_on_track,Budapest Keleti,București Nord,HU,RO,858.0,1052.0,1052.0,17.533,48.94,True,night,7,128.7,faible_potentiel
back_on_track_CFR/MÁV IC 406,back_on_track_CFR/MÁV IC 406,back_on_track,Brașov,Budapest Keleti,RO,HU,803.0,904.0,904.0,15.067,53.3,True,night,7,120.45,faible_potentiel
back_on_track_CFR/MÁV IC 407,back_on_track_CFR/MÁV IC 407,back_on_track,Budapest Keleti,Brașov,HU,RO,803.0,963.0,963.0,16.05,50.03,True,night,7,120.45,faible_potentiel
back_on_track_CFR/MÁV/ÖBB D 346,back_on_track_CFR/MÁV/ÖBB D 346,back_on_track,București Nord,Wien Hbf,RO,AT,1157.0,1094.0,1094.0,18.233,63.46,True,night,7,173.55,faible_potentiel
back_on_track_CFR/MÁV/ÖBB D 347,back_on_track_CFR/MÁV/ÖBB D 347,back_on_track,Wien Hbf,București Nord,AT,RO,1157.0,1164.0,1164.0,19.4,59.64,True,night,7,173.55,faible_potentiel
back_on_track_CFR IC 472,back_on_track_CFR IC 472,back_on_track,București Nord,Budapest Keleti,RO,HU,870.0,865.0,865.0,14.417,60.35,True,night,7,130.5,faible_potentiel
