route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,route_train_candidate,origin_train,destination_train,distance_train,duration_train,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential,match_score,match_method
GRZ-DUS,GRZ,DUS,Feldkirchen bei Graz,Düsseldorf,AT,DE,790.6,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,76.496,country_distance
GRZ-FRA,GRZ,FRA,Feldkirchen bei Graz,Frankfurt am Main,AT,DE,608.6,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,68.037,country_distance
KLU-HAM,KLU,HAM,Klagenfurt am Wörthersee,Hamburg,AT,DE,836.2,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,90.376,country_city_distance
KLU-CGN,KLU,CGN,Klagenfurt am Wörthersee,Köln (Cologne),AT,DE,705.6,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,72.556,country_distance
LNZ-DUS,LNZ,DUS,Linz,Düsseldorf,AT,DE,631.6,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,70.264,country_distance
SZG-DUS,SZG,DUS,Salzburg,Düsseldorf,AT,DE,594.4,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,68.266,country_distance
SZG-HAM,SZG,HAM,Salzburg,Hamburg,AT,DE,682.8,2,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,85.571,country_city_distance
VIE-BLQ,VIE,BLQ,Vienna,Bologna,AT,IT,567.6,1,back_on_track_ÖBB NJ 40466,Wien Hbf,Venezia Santa Lucia,619.0,655.0,night,7,92.85,potentiel_moyen,91.472,country_distance
VIE-BRE,VIE,BRE,Vienna,Bremen,AT,DE,775.8,1,back_on_track_ÖBB NJ 40420,Innsbruck Hbf,Hamburg Altona,1112.0,740.0,night,7,166.8,faible_potentiel,80.403,country_distance
VIE-CTA,VIE,CTA,Vienna,Catania,AT,IT,1189.8,3,back_on_track_ÖBB NJ 40233,Wien Hbf,Roma Tiburtina,1112.0,887.0,night,7,166.8,faible_potentiel,91.08,country_distance
