route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,unmatched_reason
TIA-BLQ,TIA,BLQ,Rinas,Bologna,AL,IT,768.2,4,no_country_pair_in_rail_dataset
TIA-VRN,TIA,VRN,Rinas,Caselle (VR),AL,IT,839.0,5,no_country_pair_in_rail_dataset
TIA-TRN,TIA,TRN,Rinas,Caselle Torinese (TO),AL,IT,1062.2,1,no_country_pair_in_rail_dataset
TIA-MXP,TIA,MXP,Rinas,Ferno (VA),AL,IT,1001.4,5,no_country_pair_in_rail_dataset
TIA-FRA,TIA,FRA,Rinas,Frankfurt am Main,AL,DE,1288.7,1,no_country_pair_in_rail_dataset
TIA-GOA,TIA,GOA,Rinas,Genova (GE),AL,IT,945.7,2,no_country_pair_in_rail_dataset
TIA-IST,TIA,IST,Rinas,Istanbul,AL,TR,752.1,1,no_country_pair_in_rail_dataset
TIA-MUC,TIA,MUC,Rinas,Munich,AL,DE,991.9,1,no_country_pair_in_rail_dataset
TIA-BGY,TIA,BGY,Rinas,Orio al Serio (BG),AL,IT,934.4,1,no_country_pair_in_rail_dataset
TIA-PSA,TIA,PSA,Rinas,Pisa (PI),AL,IT,804.2,3,no_country_pair_in_rail_dataset
TIA-FCO,TIA,FCO,Rinas,Rome,AL,IT,622.2,2,no_country_pair_in_rail_dataset
TIA-ATH,TIA,ATH,Rinas,Spata-Artemida,AL,GR,529.3,2,no_country_pair_in_rail_dataset
TIA-VCE,TIA,VCE,Rinas,Venezia (VE),AL,IT,748.2,3,no_country_pair_in_rail_dataset
TIA-VIE,TIA,VIE,Rinas,Vienna,AL,AT,784.8,1,no_country_pair_in_rail_dataset
TIA-LJU,TIA,LJU,Rinas,Zgornji Brnik,AL,SI,681.0,1,no_country_pair_in_rail_dataset
GRZ-MUC,GRZ,MUC,Feldkirchen bei Graz,Munich,AT,DE,312.7,2,no_distance_compatible_rail_candidate
GRZ-PMI,GRZ,PMI,Feldkirchen bei Graz,Palma de Mallorca,AT,ES,1316.9,2,no_country_pair_in_rail_dataset
GRZ-STR,GRZ,STR,Feldkirchen bei Graz,Stuttgart,AT,DE,500.8,2,no_distance_compatible_rail_candidate
GRZ-ZRH,GRZ,ZRH,Feldkirchen bei Graz,Zurich,AT,CH,522.8,1,no_country_pair_in_rail_dataset
INN-AMS,INN,AMS,Innsbruck,Amsterdam,AT,NL,733.1,1,no_country_pair_in_rail_dataset
INN-EIN,INN,EIN,Innsbruck,Eindhoven,AT,NL,635.2,1,no_country_pair_in_rail_dataset
INN-FRA,INN,FRA,Innsbruck,Frankfurt am Main,AT,DE,369.4,2,no_distance_compatible_rail_candidate
INN-LGW,INN,LGW,Innsbruck,London,AT,GB,941.2,1,no_country_pair_in_rail_dataset
INN-PMI,INN,PMI,Innsbruck,Palma de Mallorca,AT,ES,1102.2,2,no_country_pair_in_rail_dataset
LNZ-FRA,LNZ,FRA,Linz,Frankfurt am Main,AT,DE,455.3,2,no_distance_compatible_rail_candidate
LNZ-STN,LNZ,STN,Linz,"London, Essex",AT,GB,1073.4,1,no_country_pair_in_rail_dataset
LNZ-PMI,LNZ,PMI,Linz,Palma de Mallorca,AT,ES,1329.1,2,no_country_pair_in_rail_dataset
SZG-CLY,SZG,CLY,Salzburg,Calvi,AT,FR,671.7,2,no_country_pair_in_rail_dataset
SZG-FRA,SZG,FRA,Salzburg,Frankfurt am Main,AT,DE,408.8,2,no_distance_compatible_rail_candidate
SZG-IST,SZG,IST,Salzburg,Istanbul,AT,TR,1438.1,1,no_country_pair_in_rail_dataset
SZG-CGN,SZG,CGN,Salzburg,Köln (Cologne),AT,DE,544.8,2,no_distance_compatible_rail_candidate
SZG-LGW,SZG,LGW,Salzburg,London,AT,GB,1021.7,2,no_country_pair_in_rail_dataset
SZG-STN,SZG,STN,Salzburg,"London, Essex",AT,GB,1020.6,1,no_country_pair_in_rail_dataset
SZG-PMI,SZG,PMI,Salzburg,Palma de Mallorca,AT,ES,1231.4,2,no_country_pair_in_rail_dataset
SZG-VIE,SZG,VIE,Salzburg,Vienna,AT,AT,267.8,3,no_country_pair_in_rail_dataset
SZG-ZRH,SZG,ZRH,Salzburg,Zurich,AT,CH,336.0,1,no_country_pair_in_rail_dataset
VIE-AMS,VIE,AMS,Vienna,Amsterdam,AT,NL,959.5,2,no_country_pair_in_rail_dataset
VIE-KRK,VIE,KRK,Vienna,Balice,AT,PL,320.4,2,no_country_pair_in_rail_dataset
VIE-BCN,VIE,BCN,Vienna,Barcelona,AT,ES,1369.7,6,no_country_pair_in_rail_dataset
