route_pair,origin_iata,destination_iata,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,air_distance_km,airline_count,airlines,equipment
TIA-BRI,TIA,BRI,Rinas,Bari,AL,IT,41.4147,19.7206,41.138901,16.760599,249.2,1,AZ,32S 319
TIA-BLQ,TIA,BLQ,Rinas,Bologna,AL,IT,41.4147,19.7206,44.5354,11.2887,768.2,4,"AP,AZ,BV,JN","320,737"
TIA-VRN,TIA,VRN,Rinas,Caselle (VR),AL,IT,41.4147,19.7206,45.394955,10.887303,839.0,5,"AP,AZ,BV,IG,JN","320,737"
TIA-TRN,TIA,TRN,Rinas,Caselle Torinese (TO),AL,IT,41.4147,19.7206,45.200802,7.64963,1062.2,1,AZ,319 320 32S
TIA-MXP,TIA,MXP,Rinas,Ferno (VA),AL,IT,41.4147,19.7206,45.6306,8.72811,1001.4,5,"AP,AZ,BV,IG,JN","320,737"
TIA-FRA,TIA,FRA,Rinas,Frankfurt am Main,AL,DE,41.4147,19.7206,50.026706,8.55835,1288.7,1,JP,319
TIA-GOA,TIA,GOA,Rinas,Genova (GE),AL,IT,41.4147,19.7206,44.412039,8.840732,945.7,2,"AP,AZ",320
TIA-IST,TIA,IST,Rinas,Istanbul,AL,TR,41.4147,19.7206,41.274874,28.732136,752.1,1,TK,319
TIA-LGW,TIA,LGW,Rinas,London,AL,GB,41.4147,19.7206,51.148744,-0.185739,1864.2,1,BA,734
TIA-MUC,TIA,MUC,Rinas,Munich,AL,DE,41.4147,19.7206,48.353802,11.7861,991.9,1,LH,E95
TIA-BGY,TIA,BGY,Rinas,Orio al Serio (BG),AL,IT,41.4147,19.7206,45.669362,9.708851,934.4,1,BV,737
TIA-PSA,TIA,PSA,Rinas,Pisa (PI),AL,IT,41.4147,19.7206,43.683899,10.3927,804.2,3,"AP,AZ,BV","320,737"
TIA-FCO,TIA,FCO,Rinas,Rome,AL,IT,41.4147,19.7206,41.804532,12.251998,622.2,2,"AZ,BV","32S 319 E90 E75,737"
TIA-ATH,TIA,ATH,Rinas,Spata-Artemida,AL,GR,41.4147,19.7206,37.936401,23.9445,529.3,2,"A3,OA",DH4
