airline_iata,airline_id,origin_iata,origin_airport_id,destination_iata,destination_airport_id,codeshare,stops,equipment,origin_name,origin_city,origin_country,origin_latitude,origin_longitude,destination_name,destination_city,destination_country,destination_latitude,destination_longitude,air_distance_km,route_pair
2B,410.0,DME,4029.0,TGK,,,0,CR2,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,Taganrog Yuzhny Airport,Taganrog,RU,47.1983333,38.8491667,915.3,DME-TGK
2B,410.0,EGO,6156.0,KGD,2952.0,,0,CR2,Belgorod International Airport,Belgorod,RU,50.643798828125,36.5900993347168,Khrabrovo Airport,Kaliningrad,RU,54.89161,20.598559,1171.6,EGO-KGD
2B,410.0,KGD,2952.0,EGO,6156.0,,0,CR2,Khrabrovo Airport,Kaliningrad,RU,54.89161,20.598559,Belgorod International Airport,Belgorod,RU,50.643798828125,36.5900993347168,1171.6,KGD-EGO
2B,410.0,TGK,,DME,4029.0,,0,CR2,Taganrog Yuzhny Airport,Taganrog,RU,47.1983333,38.8491667,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,915.3,TGK-DME
2L,2750.0,BDS,1506.0,ZRH,1678.0,,0,100,Brindisi Airport,Brindisi,IT,40.6576,17.947001,Zürich Airport,Zurich,CH,47.458056,8.548056,1064.3,BDS-ZRH
2L,2750.0,BOD,1264.0,ZRH,1678.0,,0,100,Bordeaux–Mérignac Airport,Bordeaux,FR,44.82865,-0.715356,Zürich Airport,Zurich,CH,47.458056,8.548056,770.6,BOD-ZRH
2L,2750.0,BRS,490.0,ZRH,1678.0,,0,100,Bristol Airport,Bristol,GB,51.382326,-2.716453,Zürich Airport,Zurich,CH,47.458056,8.548056,922.9,BRS-ZRH
2L,2750.0,ZRH,1678.0,BDS,1506.0,,0,100,Zürich Airport,Zurich,CH,47.458056,8.548056,Brindisi Airport,Brindisi,IT,40.6576,17.947001,1064.3,ZRH-BDS
2L,2750.0,ZRH,1678.0,BOD,1264.0,,0,100,Zürich Airport,Zurich,CH,47.458056,8.548056,Bordeaux–Mérignac Airport,Bordeaux,FR,44.82865,-0.715356,770.6,ZRH-BOD
2L,2750.0,ZRH,1678.0,BRS,490.0,,0,100,Zürich Airport,Zurich,CH,47.458056,8.548056,Bristol Airport,Bristol,GB,51.382326,-2.716453,922.9,ZRH-BRS
2N,3652.0,AJR,730.0,LYC,719.0,,0,ATP,Arvidsjaur Airport,Arvidsjaur,SE,65.59030151367188,19.28190040588379,Lycksele Airport,Lycksele,SE,64.548302,18.7162,118.9,AJR-LYC
2N,3652.0,ARN,737.0,GEV,715.0,,0,ATP,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Gällivare Airport,Gällivare,SE,67.13240051269531,20.814599990844727,844.3,ARN-GEV
2N,3652.0,ARN,737.0,HAD,709.0,,0,SF3,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Halmstad Airport,Halmstad,SE,56.69110107421875,12.820199966430664,444.6,ARN-HAD
2N,3652.0,ARN,737.0,JKG,688.0,,0,ATP SF3,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Jönköping Airport,Jönköping,SE,57.757598876953125,14.068699836730955,306.4,ARN-JKG
2N,3652.0,ARN,737.0,KRF,718.0,,0,ATP,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Kramfors-Sollefteå Höga Kusten Airport,Nyland,SE,63.048599,17.7689,378.2,ARN-KRF
2N,3652.0,ARN,737.0,KSD,5595.0,,0,SF3,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Karlstad Airport,Karlstad,SE,59.444698,13.3374,259.7,ARN-KSD
2N,3652.0,ARN,737.0,LYC,719.0,,0,ATP,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Lycksele Airport,Lycksele,SE,64.548302,18.7162,546.4,ARN-LYC
2N,3652.0,ARN,737.0,MHQ,442.0,,0,SF3,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Mariehamn Airport,Mariehamn,FI,60.1222,19.898199,121.8,ARN-MHQ
2N,3652.0,ARN,737.0,OER,722.0,,0,ATR,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Örnsköldsvik Airport,Örnsköldsvik,SE,63.40829849243164,18.989999771118164,421.8,ARN-OER
2N,3652.0,ARN,737.0,POR,448.0,,0,SF3,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Pori Airport,Pori,FI,61.4617,21.799999,292.2,ARN-POR
2N,3652.0,ARN,737.0,TRF,664.0,,0,SF3,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,"Sandefjord Airport, Torp",Sandefjord(Torp),NO,59.186699,10.2586,436.7,ARN-TRF
2N,3652.0,ARN,737.0,VBY,746.0,,0,SF3 ATP,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Visby Airport,Visby,SE,57.6628,18.346201,222.1,ARN-VBY
2N,3652.0,ARN,737.0,VHM,729.0,,0,SF3,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Vilhelmina South Lapland Airport,Vilhelmina,SE,64.579102,16.833599,551.2,ARN-VHM
2N,3652.0,ARN,737.0,VXO,711.0,,0,SF3,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Växjö Kronoberg Airport,Växjö,SE,56.929100036621094,14.727999687194824,355.5,ARN-VXO
2N,3652.0,GEV,715.0,ARN,737.0,,0,ATP,Gällivare Airport,Gällivare,SE,67.13240051269531,20.814599990844727,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,844.3,GEV-ARN
2N,3652.0,GEV,715.0,KRF,718.0,,0,ATP,Gällivare Airport,Gällivare,SE,67.13240051269531,20.814599990844727,Kramfors-Sollefteå Höga Kusten Airport,Nyland,SE,63.048599,17.7689,475.8,GEV-KRF
2N,3652.0,HAD,709.0,ARN,737.0,,0,SF3 ATP,Halmstad Airport,Halmstad,SE,56.69110107421875,12.820199966430664,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,444.6,HAD-ARN
2N,3652.0,HAD,709.0,JKG,688.0,,0,ATP SF3,Halmstad Airport,Halmstad,SE,56.69110107421875,12.820199966430664,Jönköping Airport,Jönköping,SE,57.757598876953125,14.068699836730955,140.4,HAD-JKG
2N,3652.0,HAD,709.0,VXO,711.0,,0,SF3,Halmstad Airport,Halmstad,SE,56.69110107421875,12.820199966430664,Växjö Kronoberg Airport,Växjö,SE,56.929100036621094,14.727999687194824,119.1,HAD-VXO
2N,3652.0,JKG,688.0,ARN,737.0,,0,ATP SF3,Jönköping Airport,Jönköping,SE,57.757598876953125,14.068699836730955,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,306.4,JKG-ARN
2N,3652.0,JKG,688.0,HAD,709.0,,0,ATP SF3,Jönköping Airport,Jönköping,SE,57.757598876953125,14.068699836730955,Halmstad Airport,Halmstad,SE,56.69110107421875,12.820199966430664,140.4,JKG-HAD
2N,3652.0,KOK,435.0,POR,448.0,,0,SF3,Kokkola-Pietarsaari Airport,Kokkola / Kruunupyy,FI,63.721199,23.143101,Pori Airport,Pori,FI,61.4617,21.799999,260.5,KOK-POR
2N,3652.0,KRF,718.0,ARN,737.0,,0,ATP,Kramfors-Sollefteå Höga Kusten Airport,Nyland,SE,63.048599,17.7689,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,378.2,KRF-ARN
2N,3652.0,KRF,718.0,GEV,715.0,,0,ATP,Kramfors-Sollefteå Höga Kusten Airport,Nyland,SE,63.048599,17.7689,Gällivare Airport,Gällivare,SE,67.13240051269531,20.814599990844727,475.8,KRF-GEV
2N,3652.0,KSD,5595.0,ARN,737.0,,0,SF3,Karlstad Airport,Karlstad,SE,59.444698,13.3374,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,259.7,KSD-ARN
2N,3652.0,LYC,719.0,AJR,730.0,,0,ATP,Lycksele Airport,Lycksele,SE,64.548302,18.7162,Arvidsjaur Airport,Arvidsjaur,SE,65.59030151367188,19.28190040588379,118.9,LYC-AJR
2N,3652.0,LYC,719.0,ARN,737.0,,0,ATP,Lycksele Airport,Lycksele,SE,64.548302,18.7162,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,546.4,LYC-ARN
2N,3652.0,MHQ,442.0,ARN,737.0,,0,SF3,Mariehamn Airport,Mariehamn,FI,60.1222,19.898199,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,121.8,MHQ-ARN
2N,3652.0,MHQ,442.0,TKU,460.0,,0,SF3,Mariehamn Airport,Mariehamn,FI,60.1222,19.898199,Turku Airport,Turku,FI,60.514099,22.2628,137.3,MHQ-TKU
2N,3652.0,OER,722.0,ARN,737.0,,0,ATR,Örnsköldsvik Airport,Örnsköldsvik,SE,63.40829849243164,18.989999771118164,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,421.8,OER-ARN
2N,3652.0,OSL,644.0,VXO,711.0,,0,SF3,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,60.193901,11.1004,Växjö Kronoberg Airport,Växjö,SE,56.929100036621094,14.727999687194824,419.4,OSL-VXO
2N,3652.0,POR,448.0,ARN,737.0,,0,SF3,Pori Airport,Pori,FI,61.4617,21.799999,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,292.2,POR-ARN
2N,3652.0,POR,448.0,KOK,435.0,,0,SF3,Pori Airport,Pori,FI,61.4617,21.799999,Kokkola-Pietarsaari Airport,Kokkola / Kruunupyy,FI,63.721199,23.143101,260.5,POR-KOK
2N,3652.0,TKU,460.0,MHQ,442.0,,0,SF3,Turku Airport,Turku,FI,60.514099,22.2628,Mariehamn Airport,Mariehamn,FI,60.1222,19.898199,137.3,TKU-MHQ
2N,3652.0,TRF,664.0,ARN,737.0,,0,SF3,"Sandefjord Airport, Torp",Sandefjord(Torp),NO,59.186699,10.2586,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,436.7,TRF-ARN
2N,3652.0,VBY,746.0,ARN,737.0,,0,SF3 ATP,Visby Airport,Visby,SE,57.6628,18.346201,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,222.1,VBY-ARN
2N,3652.0,VHM,729.0,ARN,737.0,,0,SF3,Vilhelmina South Lapland Airport,Vilhelmina,SE,64.579102,16.833599,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,551.2,VHM-ARN
2N,3652.0,VXO,711.0,ARN,737.0,,0,SF3,Växjö Kronoberg Airport,Växjö,SE,56.929100036621094,14.727999687194824,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,355.5,VXO-ARN
2N,3652.0,VXO,711.0,OSL,644.0,,0,SF3,Växjö Kronoberg Airport,Växjö,SE,56.929100036621094,14.727999687194824,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,60.193901,11.1004,419.4,VXO-OSL
3L,2916.0,ACH,1679.0,EBA,1558.0,,0,DH3,Sankt Gallen Altenrhein Airport,St. Gallen,CH,47.485001,9.56077,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,528.0,ACH-EBA
3L,2916.0,DRS,338.0,ZRH,1678.0,,0,DH3,Dresden Airport,Dresden,DE,51.134123,13.767831,Zürich Airport,Zurich,CH,47.458056,8.548056,556.8,DRS-ZRH
3L,2916.0,DUS,345.0,FDH,382.0,,0,DH3,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,448.5,DUS-FDH
3L,2916.0,EBA,1558.0,ACH,1679.0,,0,DH3,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,Sankt Gallen Altenrhein Airport,St. Gallen,CH,47.485001,9.56077,528.0,EBA-ACH
3L,2916.0,EBA,1558.0,FDH,382.0,,0,DH3,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,549.0,EBA-FDH
3L,2916.0,EBA,1558.0,MUC,346.0,,0,DH3,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,Munich Airport,Munich,DE,48.353802,11.7861,633.4,EBA-MUC
3L,2916.0,EBA,1558.0,ZRH,1678.0,,0,DH3,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,Zürich Airport,Zurich,CH,47.458056,8.548056,538.9,EBA-ZRH
3L,2916.0,FDH,382.0,DUS,345.0,,0,DH3,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,448.5,FDH-DUS
3L,2916.0,FDH,382.0,EBA,1558.0,,0,DH3,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,549.0,FDH-EBA
3L,2916.0,FDH,382.0,HAM,342.0,,0,AT7,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,663.5,FDH-HAM
3L,2916.0,FDH,382.0,OLB,1520.0,,0,AT7,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,Olbia Costa Smeralda Airport,Olbia (SS),IT,40.898953,9.518457,753.1,FDH-OLB
