route_pair,origin_iata,destination_iata,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,air_distance_km,airline_count,airlines,equipment
FRA-MAD,FRA,MAD,Frankfurt am Main,Madrid,DE,ES,50.026706,8.55835,40.493407,-3.572249,1419.5,8,"AB,AY,ET,IB,LA,LH,UX,VN","321 319 32A,32A,32A 321 319 320,32S,738,787,E90"
MAD-FRA,MAD,FRA,Madrid,Frankfurt am Main,ES,DE,40.493407,-3.572249,50.026706,8.55835,1419.5,8,"AB,AY,ET,IB,LA,LH,UX,VN","321 320,321 32A 319 320,32A,32S,738,787,E90"
PRG-FCO,PRG,FCO,Prague,Rome,CZ,IT,50.100874,14.259911,41.804532,12.251998,935.4,7,"AZ,IB,OK,QS,U2,VY,W6","319,320,32S,738 320 319,73G 319 738"
FCO-PRG,FCO,PRG,Rome,Prague,IT,CZ,41.804532,12.251998,50.100874,14.259911,935.4,7,"AZ,IB,OK,QS,U2,VY,W6","319,320,32S,738 320 319,73G 319 738"
MAD-OPO,MAD,OPO,Madrid,Porto,ES,PT,40.493407,-3.572249,41.2481002808,-8.68138980865,437.6,6,"FR,IB,S4,TG,TP,US","738,CRK CR9,ER4"
OPO-MAD,OPO,MAD,Porto,Madrid,PT,ES,41.2481002808,-8.68138980865,40.493407,-3.572249,437.6,6,"FR,IB,S4,TG,TP,US","738,CRK CR9,ER4"
MAD-LIS,MAD,LIS,Madrid,Lisbon,ES,PT,40.493407,-3.572249,38.7813,-9.13592,512.9,6,"IB,S4,TP,U2,US,UX","100 ER4 319 320,319,319 ER4 100,321 320 319,ER4,ER4 319 320 100"
LIS-MAD,LIS,MAD,Lisbon,Madrid,PT,ES,38.7813,-9.13592,40.493407,-3.572249,512.9,6,"IB,S4,TP,U2,US,UX","319,319 ER4 100,320 321 319,ER4,ER4 100 319,ER4 319 320 100"
CPH-OSL,CPH,OSL,Copenhagen,Oslo (Gardermoen),DK,NO,55.617900848389,12.656000137329,60.193901,11.1004,517.0,6,"AC,DY,LH,PK,SK,UA","320 321 73H 73G 738 319 73W 736,321,321 738 320,738,73H 733,777"
VIE-ZRH,VIE,ZRH,Vienna,Zurich,AT,CH,48.110298,16.5697,47.458056,8.548056,603.4,6,"AB,HG,KE,LX,OS,RJ","320,320 32A 319 321 AR1,321 E90 320,77W"
CPH-AMS,CPH,AMS,Copenhagen,Amsterdam,DK,NL,55.617900848389,12.656000137329,52.308601,4.76389,633.4,6,"AC,AZ,DY,KL,MU,SK","319,320 319 321 CR9,737,737 EMJ,737 EMJ F70,73H"
AMS-CPH,AMS,CPH,Amsterdam,Copenhagen,NL,DK,52.308601,4.76389,55.617900848389,12.656000137329,633.4,6,"AC,AZ,DY,KL,MU,SK","319 321,320 319 321 CR9,737 E90,737 EMJ,73H,EMJ 737 F70"
BCN-LGW,BCN,LGW,Barcelona,London,ES,GB,41.2971,2.07846,51.148744,-0.185739,1109.1,6,"BA,DY,IB,U2,VY,ZB","319 320,319 734 320,320,320 319 734,321 752,73H"
LGW-BCN,LGW,BCN,London,Barcelona,GB,ES,51.148744,-0.185739,41.2971,2.07846,1109.1,6,"BA,DY,IB,U2,VY,ZB","319 320,319 320 734,319 734 320,320,321 752,73H"
MUC-MAN,MUC,MAN,Munich,"Manchester, Greater Manchester",DE,GB,48.353802,11.7861,53.349375,-2.279521,1130.1,6,"LH,SA,SQ,U2,VA,VS","319,319 320,77W"
MAN-MUC,MAN,MUC,"Manchester, Greater Manchester",Munich,GB,DE,53.349375,-2.279521,48.353802,11.7861,1130.1,6,"LH,SA,SQ,U2,VA,VS","319,319 320,320 319,77W"
BRU-FCO,BRU,FCO,Zaventem,Rome,BE,IT,50.901402,4.48444,41.804532,12.251998,1172.6,6,"AZ,FR,HU,IB,SN,VY","320,320 319,32S 320 319,738"
FCO-BRU,FCO,BRU,Rome,Zaventem,IT,BE,41.804532,12.251998,50.901402,4.48444,1172.6,6,"AZ,FR,HU,IB,SN,VY","319,319 320,320,32S 320 319,738"
PMI-LGW,PMI,LGW,Palma de Mallorca,London,ES,GB,39.551701,2.73881,51.148744,-0.185739,1309.3,6,"DY,TCX,TO,TOM,U2,ZB","319 320,321,321 752,73H,73H 75W"
LGW-PMI,LGW,PMI,London,Palma de Mallorca,GB,ES,51.148744,-0.185739,39.551701,2.73881,1309.3,6,"DY,TCX,TO,TOM,U2,ZB","319 320,321,321 752,73H,73H 75W"
VIE-BCN,VIE,BCN,Vienna,Barcelona,AT,ES,48.110298,16.5697,41.2971,2.07846,1369.7,6,"AB,CA,HG,IB,OS,VY","320,320 321,321 320,333"
BCN-VIE,BCN,VIE,Barcelona,Vienna,ES,AT,41.2971,2.07846,48.110298,16.5697,1369.7,6,"AB,CA,HG,IB,OS,VY","320,320 321,321 320,333"
ALC-LGW,ALC,LGW,Alicante,London,ES,GB,38.2822,-0.558156,51.148744,-0.185739,1431.0,6,"BA,DY,IB,TO,U2,ZB","319 320,319 734,321 752,73H,75W"
LGW-ALC,LGW,ALC,London,Alicante,GB,ES,51.148744,-0.185739,38.2822,-0.558156,1431.0,6,"BA,DY,IB,TO,U2,ZB","319 320,319 734,321 752,73H,75W"
LHR-ARN,LHR,ARN,London,Stockholm,GB,SE,51.470748,-0.459909,59.64849,17.928829,1462.7,6,"AA,AY,BA,IB,SK,TG","321 319 767 320,73W 736 73H,73W 73H 736 73G 717"
ARN-LHR,ARN,LHR,Stockholm,London,SE,GB,59.64849,17.928829,51.470748,-0.459909,1462.7,6,"AA,AY,BA,IB,SK,TG","320 321 319,320 321 319 767,73W 736,73W 73H 736 73G 717"
MUC-MAD,MUC,MAD,Munich,Madrid,DE,ES,48.353802,11.7861,40.493407,-3.572249,1496.0,6,"AB,IB,LH,LY,SK,UX","319 320 321,321,321 320 319,738,E90"
VIE-MUC,VIE,MUC,Vienna,Munich,AT,DE,48.110298,16.5697,48.353802,11.7861,355.3,5,"AB,HG,LH,OS,RJ","320 E95 319 100 CR9 F70,E90,E95 319"
MUC-VIE,MUC,VIE,Munich,Vienna,DE,AT,48.353802,11.7861,48.110298,16.5697,355.3,5,"AB,HG,LH,OS,RJ","E90,E95 319 CR9,E95 320 319 100 CR9 F70"
LHR-AMS,LHR,AMS,London,Amsterdam,GB,NL,51.470748,-0.459909,52.308601,4.76389,370.3,5,"AA,BA,CI,KL,MU","320 319 321,737,737 F70,737 F70 EMJ,767 320 319 321"
AMS-LHR,AMS,LHR,Amsterdam,London,NL,GB,52.308601,4.76389,51.470748,-0.459909,370.3,5,"AA,BA,CI,KL,MU","320 767 319 321,320 767 321 319,737 F70,737 F70 EMJ,F70"
HAM-AMS,HAM,AMS,Hamburg,Amsterdam,DE,NL,53.630402,9.98823,52.308601,4.76389,379.4,5,"4U,AZ,DL,EW,KL","737 E90 F70 EMJ,737 EMJ,737 EMJ F70,CRJ"
HEL-ARN,HEL,ARN,Helsinki (Vantaa),Stockholm,FI,SE,60.318363,24.963341,59.64849,17.928829,398.1,5,"AY,CA,DY,ET,SK","319 320,717,717 73W AT7,73H"
ARN-HEL,ARN,HEL,Stockholm,Helsinki (Vantaa),SE,FI,59.64849,17.928829,60.318363,24.963341,398.1,5,"AY,CA,DY,ET,SK","319 320,717,717 73W AT7,73H"
ZRH-VIE,ZRH,VIE,Zurich,Vienna,CH,AT,47.458056,8.548056,48.110298,16.5697,603.4,5,"AB,HG,LX,OS,RJ","321 E90,321 E90 320,32A 319 321 320 AR1,32A 320 319 321 AR1"
VIE-FRA,VIE,FRA,Vienna,Frankfurt am Main,AT,DE,48.110298,16.5697,50.026706,8.55835,620.9,5,"AB,ET,HG,LH,OS","321,321 320 319,E90 320"
FRA-VIE,FRA,VIE,Frankfurt am Main,Vienna,DE,AT,50.026706,8.55835,48.110298,16.5697,620.9,5,"AB,ET,HG,LH,OS","321,321 320 319,E90 320"
VIE-FLR,VIE,FLR,Vienna,Firenze (FI),AT,IT,48.110298,16.5697,43.808558,11.202822,632.9,5,"AB,AY,HG,IG,OS","320,DH4,DH4 F70"
FLR-VIE,FLR,VIE,Firenze (FI),Vienna,IT,AT,43.808558,11.202822,48.110298,16.5697,632.9,5,"AB,AY,HG,IG,OS","320,DH4,DH4 F70"
VIE-MXP,VIE,MXP,Vienna,Ferno (VA),AT,IT,48.110298,16.5697,45.6306,8.72811,656.4,5,"AB,HG,IG,OS,RJ","319 320 100,320,E90"
MXP-VIE,MXP,VIE,Ferno (VA),Vienna,IT,AT,45.6306,8.72811,48.110298,16.5697,656.4,5,"AB,HG,IG,OS,RJ","320,320 319 100,E90"
VIE-FCO,VIE,FCO,Vienna,Rome,AT,IT,48.110298,16.5697,41.804532,12.251998,778.8,5,"AB,AZ,HG,IG,OS","319 E90 E75,320,320 100 319,320 E90 321,E90"
FCO-VIE,FCO,VIE,Rome,Vienna,IT,AT,41.804532,12.251998,48.110298,16.5697,778.8,5,"AB,AZ,HG,IG,OS","319 E90 E75,320,320 100 319,320 E90 321,E90"
TIA-VRN,TIA,VRN,Rinas,Caselle (VR),AL,IT,41.4147,19.7206,45.394955,10.887303,839.0,5,"AP,AZ,BV,IG,JN","320,737"
VRN-TIA,VRN,TIA,Caselle (VR),Rinas,IT,AL,45.394955,10.887303,41.4147,19.7206,839.0,5,"AP,AZ,BV,IG,JN","320,737"
PRG-CDG,PRG,CDG,Prague,"Paris (Roissy-en-France, Val-d'Oise)",CZ,FR,50.100874,14.259911,49.00896,2.554117,852.2,5,"AF,AZ,OK,QS,U2","319,319 73G 738,320 319,321 320 32A"
CDG-PRG,CDG,PRG,"Paris (Roissy-en-France, Val-d'Oise)",Prague,FR,CZ,49.00896,2.554117,50.100874,14.259911,852.2,5,"AF,AZ,OK,QS,U2","319,319 73G 738,320 319,321 320 32A"
BCN-CDG,BCN,CDG,Barcelona,"Paris (Roissy-en-France, Val-d'Oise)",ES,FR,41.2971,2.07846,49.00896,2.554117,858.3,5,"AF,IB,U2,UX,VY","319,320,320 319,321 32A 318 320,32S"
CDG-BCN,CDG,BCN,"Paris (Roissy-en-France, Val-d'Oise)",Barcelona,FR,ES,49.00896,2.554117,41.2971,2.07846,858.3,5,"AF,IB,U2,UX,VY","319,320,320 319,321 32A 318 320,32S"
EDI-CDG,EDI,CDG,Edinburgh,"Paris (Roissy-en-France, Val-d'Oise)",GB,FR,55.950145,-3.372288,49.00896,2.554117,869.2,5,"AF,AZ,BE,KQ,U2","319,AR8,ARJ"
VIE-CPH,VIE,CPH,Vienna,Copenhagen,AT,DK,48.110298,16.5697,55.617900848389,12.656000137329,876.6,5,"AB,AY,HG,OS,RJ","320 100 319,E90"
CPH-VIE,CPH,VIE,Copenhagen,Vienna,DK,AT,55.617900848389,12.656000137329,48.110298,16.5697,876.6,5,"AB,AY,HG,OS,RJ","319 320 100,E90"
BCN-OPO,BCN,OPO,Barcelona,Porto,ES,PT,41.2971,2.07846,41.2481002808,-8.68138980865,898.7,5,"FR,IB,S4,TP,VY","320,738,ER4"
OPO-BCN,OPO,BCN,Porto,Barcelona,PT,ES,41.2481002808,-8.68138980865,41.2971,2.07846,898.7,5,"FR,IB,S4,TP,VY","320,738,ER4"
TIA-MXP,TIA,MXP,Rinas,Ferno (VA),AL,IT,41.4147,19.7206,45.6306,8.72811,1001.4,5,"AP,AZ,BV,IG,JN","320,737"
MXP-TIA,MXP,TIA,Ferno (VA),Rinas,IT,AL,45.6306,8.72811,41.4147,19.7206,1001.4,5,"AP,AZ,BV,IG,JN","320,737"
FRA-BEG,FRA,BEG,Frankfurt am Main,Belgrade,DE,RS,50.026706,8.55835,44.818401,20.309099,1055.0,5,"AB,EY,JU,LH,SK","319,320 32A 319 321"
BEG-FRA,BEG,FRA,Belgrade,Frankfurt am Main,RS,DE,44.818401,20.309099,50.026706,8.55835,1055.0,5,"AB,EY,JU,LH,SK","319,320 32A 319 321"
BRU-BCN,BRU,BCN,Zaventem,Barcelona,BE,ES,50.901402,4.48444,41.2971,2.07846,1083.8,5,"FR,HU,IB,SN,VY","319,320,320 319,738"
BCN-BRU,BCN,BRU,Barcelona,Zaventem,ES,BE,41.2971,2.07846,50.901402,4.48444,1083.8,5,"FR,HU,IB,SN,VY","320,320 319,738"
