id,ident,type,name,municipality,iso_country,iso_region,iata_code,icao_code,latitude_deg,longitude_deg
3972,LATI,large_airport,Tirana International Airport Mother Teresa,Rinas,AL,AL-02,TIA,LATI,41.4147,19.7206
4430,LOWG,large_airport,Graz Airport,Feldkirchen bei Graz,AT,AT-6,GRZ,LOWG,46.9911,15.4396
4431,LOWI,large_airport,Innsbruck Airport,Innsbruck,AT,AT-7,INN,LOWI,47.260201,11.344
4435,LOWK,large_airport,Klagenfurt Airport,Klagenfurt am Wörthersee,AT,AT-2,KLU,LOWK,46.642502,14.3377
4432,LOWL,large_airport,Linz-Hörsching Airport,Linz,AT,AT-4,LNZ,LOWL,48.235362,14.188128
4433,LOWS,large_airport,Salzburg Airport,Salzburg,AT,AT-5,SZG,LOWS,47.793301,13.0043
4434,LOWW,large_airport,Vienna International Airport,Vienna,AT,AT-9,VIE,LOWW,48.110298,16.5697
4470,LQTZ,large_airport,Tuzla International Airport,Dubrave Gornje,BA,BA-BIH,TZL,LQTZ,44.459858,18.723627
4467,LQBK,large_airport,Banja Luka International Airport,Mahovljani,BA,BA-SRP,BNX,LQBK,44.941399,17.297501
4468,LQMO,large_airport,Mostar International Airport,Mostar,BA,BA-BIH,OMO,LQMO,43.282489,17.846101
4469,LQSA,large_airport,Sarajevo International Airport,Sarajevo,BA,BA-BIH,SJJ,LQSA,43.8246,18.331499
2152,EBAW,medium_airport,Antwerp International Airport (Deurne),Antwerp,BE,BE-VAN,ANR,EBAW,51.190667,4.463153
2157,EBCI,large_airport,Brussels South Charleroi Airport,Charleroi,BE,BE-WHT,CRL,EBCI,50.461963,4.459562
2162,EBLG,medium_airport,Liège Airport,Grâce-Hollogne,BE,BE-WLG,LGG,EBLG,50.638574,5.443897
2163,EBOS,large_airport,Ostend-Bruges International Airport,Oostende,BE,BE-VWV,OST,EBOS,51.1998,2.874673
2155,EBBR,large_airport,Brussels Airport,Zaventem,BE,BE-VBR,BRU,EBBR,50.901402,4.48444
3974,LBBG,large_airport,Burgas Airport,Burgas,BG,BG-02,BOJ,LBBG,42.569917,27.515173
3976,LBPD,large_airport,Plovdiv International Airport,Plovdiv,BG,BG-16,PDV,LBPD,42.067799,24.8508
3977,LBSF,large_airport,Sofia Airport,Sofia,BG,BG-22,SOF,LBSF,42.696357,23.417671
3979,LBWN,large_airport,Varna Airport,Varna,BG,BG-03,VAR,LBWN,43.232101,27.8251
6495,UMBB,large_airport,Brest International Airport,Brest,BY,BY-BR,BQT,UMBB,52.108138,23.89676
6496,UMGG,medium_airport,Gomel Airport,Gomel,BY,BY-HO,GME,UMGG,52.527000427246094,31.016700744628903
6501,UMMS,large_airport,Minsk National Airport,Minsk,BY,BY-MI,MSQ,UMMS,53.888071,28.039964
6502,UMOO,medium_airport,Mogilev Airport,Mogilev,BY,BY-MA,MVQ,UMOO,53.95489883422851,30.09510040283203
4502,LSZA,medium_airport,Lugano Airport,Agno,CH,CH-TI,LUG,LSZA,46.004299,8.91058
4503,LSZB,medium_airport,Bern Airport,Bern,CH,CH-BE,BRN,LSZB,46.912736,7.498819
4490,LSGG,large_airport,Geneva International Airport,Geneva,CH,CH-GE,GVA,LSGG,46.238098,6.10895
4506,LSZR,medium_airport,Sankt Gallen Altenrhein Airport,St. Gallen,CH,CH-SG,ACH,LSZR,47.485001,9.56077
4505,LSZH,large_airport,Zürich Airport,Zurich,CH,CH-ZH,ZRH,LSZH,47.458056,8.548056
4409,LKTB,medium_airport,Brno-Tuřany Airport,Brno,CZ,CZ-JM,BRQ,LKTB,49.151276,16.693972
4399,LKKV,large_airport,Karlovy Vary Airport,Karlovy Vary,CZ,CZ-KA,KLV,LKKV,50.202999,12.915
4402,LKMT,large_airport,Leoš Janáček Airport Ostrava,Mošnov,CZ,CZ-MO,OSR,LKMT,49.696301,18.111099
4405,LKPD,large_airport,Pardubice Airport,Pardubice,CZ,CZ-PA,PED,LKPD,50.015049,15.73981
4408,LKPR,large_airport,Václav Havel Airport Prague,Prague,CZ,CZ-PR,PRG,LKPR,50.100874,14.259911
4393,LKCS,large_airport,České Budějovice South Bohemian Airport,České Budějovice,CZ,CZ-JC,JCL,LKCS,48.948171,14.42832
301881,EDDB,large_airport,Berlin Brandenburg Airport,Berlin,DE,DE-BR,BER,EDDB,52.361738,13.502341
2225,EDDW,large_airport,Bremen Airport,Bremen,DE,DE-HB,BRE,EDDW,53.046786,8.78932
2244,EDLP,large_airport,Paderborn Lippstadt Airport,Büren,DE,DE-NW,PAD,EDLP,51.612527,8.617459
2285,EDVK,large_airport,Kassel Airport,Calden,DE,DE-HE,KSF,EDVK,51.418395,9.391638
2247,EDLW,large_airport,Dortmund Airport,Dortmund,DE,DE-NW,DTM,EDLW,51.518299,7.61224
2210,EDDC,large_airport,Dresden Airport,Dresden,DE,DE-SN,DRS,EDDC,51.134123,13.767831
2217,EDDL,large_airport,Düsseldorf Airport,Düsseldorf,DE,DE-NW,DUS,EDDL,51.289501,6.76678
2211,EDDE,large_airport,Erfurt-Weimar Airport,Erfurt,DE,DE-TH,ERF,EDDE,50.978281,10.960713
2212,EDDF,large_airport,Frankfurt Main Airport,Frankfurt am Main,DE,DE-HE,FRA,EDDF,50.026706,8.55835
2227,EDFH,large_airport,Frankfurt-Hahn Airport,Frankfurt am Main (Lautzenhausen),DE,DE-RP,HHN,EDFH,49.946353,7.261734
2256,EDNY,large_airport,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,DE-BW,FDH,EDNY,47.671299,9.51149
2213,EDDG,large_airport,Münster Osnabrück Airport,Greven,DE,DE-NW,FMO,EDDG,52.133816,7.688482
2214,EDDH,large_airport,Hamburg Helmut Schmidt Airport,Hamburg,DE,DE-HH,HAM,EDDH,53.630402,9.98823
2224,EDDV,large_airport,Hannover Airport,Hannover,DE,DE-NI,HAJ,EDDV,52.461102,9.68508
2216,EDDK,large_airport,Cologne Bonn Airport,Köln (Cologne),DE,DE-NW,CGN,EDDK,50.865898,7.14274
2739,ETNL,medium_airport,Rostock-Laage Airport,Laage,DE,DE-MV,RLG,ETNL,53.918201,12.2783
2236,EDHL,medium_airport,Lübeck Blankensee Airport,Lübeck,DE,DE-SH,LBC,EDHL,53.805401,10.7192
2228,EDFM,medium_airport,Mannheim-City Airport,Mannheim,DE,DE-BW,MHG,EDFM,49.473057,8.514167
2237,EDJA,large_airport,Memmingen Allgau Airport,Memmingen,DE,DE-BY,FMM,EDJA,47.988092,10.238248
2218,EDDM,large_airport,Munich Airport,Munich,DE,DE-BY,MUC,EDDM,48.353802,11.7861
2219,EDDN,large_airport,Nuremberg Airport,Nuremberg,DE,DE-BY,NUE,EDDN,49.498699,11.078056
2270,EDSB,large_airport,Karlsruhe Baden-Baden Airport,Rheinmünster,DE,DE-BW,FKB,EDSB,48.7794,8.0805
2221,EDDR,medium_airport,Saarbrücken Airport,Saarbrücken,DE,DE-SL,SCN,EDDR,49.214545,7.109735
2220,EDDP,large_airport,Leipzig/Halle Airport,Schkeuditz,DE,DE-SN,LEJ,EDDP,51.420657,12.232705
2222,EDDS,large_airport,Stuttgart Airport,Stuttgart,DE,DE-BW,STR,EDDS,48.689899,9.22196
2296,EDXW,medium_airport,Westerland Sylt Airport,Sylt,DE,DE-SH,GWT,EDXW,54.9132,8.34047
2246,EDLV,large_airport,Weeze (Niederrhein) Airport,Weeze,DE,DE-NW,NRN,EDLV,51.601362,6.141228
2734,ETMN,medium_airport,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,Wurster Nordseeküste,DE,DE-NI,FCN,ETMN,53.767689,8.659201
2187,EDAH,medium_airport,Heringsdorf Airport,Zirchow,DE,DE-MV,HDF,EDAH,53.8787,14.1523
2562,EKYT,large_airport,Aalborg Airport,Aalborg,DK,DK-81,AAL,EKYT,57.094763,9.84993
2540,EKAH,large_airport,Aarhus Airport,Aarhus,DK,DK-82,AAR,EKAH,56.303331,10.618286
2541,EKBI,large_airport,Billund Airport,Billund,DK,DK-83,BLL,EKBI,55.740335,9.157019
2542,EKCH,large_airport,Copenhagen Kastrup Airport,Copenhagen,DK,DK-84,CPH,EKCH,55.617900848389,12.656000137329
2543,EKEB,medium_airport,Esbjerg Airport,Esbjerg,DK,DK-83,EBJ,EKEB,55.525902,8.5534
2546,EKKA,medium_airport,Midtjyllands Airport / Air Base Karup,Karup,DK,DK-82,KRP,EKKA,56.297139,9.104311
2549,EKOD,large_airport,Odense Hans Christian Andersen Airport,Odense,DK,DK-83,ODE,EKOD,55.475307,10.327206
2551,EKRK,medium_airport,Copenhagen Roskilde Airport,Roskilde,DK,DK-85,RKE,EKRK,55.585602,12.1314
2552,EKRN,medium_airport,Bornholm Airport,Rønne,DK,DK-84,RNN,EKRN,55.063301,14.7596
2553,EKSB,medium_airport,Sønderborg Airport,Sønderborg,DK,DK-83,SGD,EKSB,54.96440124511719,9.791729927062988
2299,EEKE,medium_airport,Kuressaare Airport,Kuressaare,EE,EE-74,URE,EEKE,58.22990036010742,22.50950050354004
2298,EEKA,medium_airport,Kärdla Airport,Kärdla,EE,EE-39,KDL,EEKA,58.99079895019531,22.830699920654297
2300,EEPU,medium_airport,Pärnu Airport,Pärnu,EE,EE-67,EPU,EEPU,58.41899871826172,24.47279930114746
2301,EETN,large_airport,Lennart Meri Tallinn Airport,Tallinn,EE,EE-37,TLL,EETN,59.413246,24.83264
2302,EETU,medium_airport,Tartu Airport,Tartu,EE,EE-7B,TAY,EETU,58.307438,26.686473
4045,LEVT,medium_airport,Vitoria Airport,Alava,ES,ES-PV,VIT,LEVT,42.882801,-2.72447
3997,LEAL,large_airport,Alicante-Elche Miguel Hernández Airport,Alicante,ES,ES-VC,ALC,LEAL,38.2822,-0.558156
3998,LEAM,medium_airport,Almería Airport,Almería,ES,ES-AN,LEI,LEAM,36.843899,-2.3701
4005,LEBZ,medium_airport,Badajoz Airport,Badajoz,ES,ES-EX,BJZ,LEBZ,38.8913,-6.82133
4004,LEBL,large_airport,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,ES-CT,BCN,LEBL,41.2971,2.07846
4001,LEBB,large_airport,Bilbao Airport,Bilbao,ES,ES-PV,BIO,LEBB,43.301102,-2.91061
300859,LECH,medium_airport,Castellón-Costa Azahar Airport,Castellón de la Plana,ES,ES-VC,CDT,LECH,40.213889,0.073333
308134,LEMI,large_airport,Region of Murcia International Airport,Corvera,ES,ES-MC,RMU,LEMI,37.802852,-1.124884
4007,LECO,medium_airport,A Coruña Airport,Culleredo,ES,ES-GA,LCG,LECO,43.302101,-8.37726
4000,LEBA,medium_airport,Córdoba Airport,Córdoba,ES,ES-AN,ODB,LEBA,37.841999,-4.84888
4010,LEGE,large_airport,Girona-Costa Brava Airport,Girona,ES,ES-CT,GRO,LEGE,41.904639,2.761774
4011,LEGR,medium_airport,F.G.L. Airport Granada-Jaén Airport,Granada,ES,ES-AN,GRX,LEGR,37.188702,-3.77736
4037,LESO,medium_airport,San Sebastián Airport,Hondarribia,ES,ES-PV,EAS,LESO,43.356499,-1.79061
4013,LEIB,large_airport,Ibiza Airport,Ibiza (Eivissa),ES,ES-IB,IBZ,LEIB,38.872898,1.37312
4015,LEJR,medium_airport,Jerez Airport,Jerez de la Frontera,ES,ES-AN,XRY,LEJR,36.744598,-6.06011
4039,LESU,medium_airport,Pirineus - la Seu d'Urgel Airport,La Seu d'Urgell Pyrenees and Andorra,ES,ES-CT,LEU,LESU,42.3386,1.40917
4018,LELN,medium_airport,León Airport,La Virgen del Camino,ES,ES-CL,LEN,LELN,42.590709,-5.653406
308328,LEDA,medium_airport,Lleida-Alguaire Airport,Lleida,ES,ES-CT,ILD,LEDA,41.728185,0.535023
4019,LEMD,large_airport,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,ES-MD,MAD,LEMD,40.493407,-3.572249
4021,LEMH,large_airport,Menorca Airport,Mahón (Maó),ES,ES-IB,MAH,LEMH,39.862598,4.21865
