route_long_name,route_short_name,agency_id,route_type,route_id
,EC,10,2,51
,EC,3,2,34
,EC,8,2,8
,EC,9,2,1
,EC 62,10,2,64
,EC 62,2,2,9
,EC 85,2,2,10
,EC 89,2,2,41
,EC 95,2,2,80
,EC 95,7,2,21
,EC 96,2,2,11
,EC 96,7,2,54
,EC 97,2,2,55
,ECE,12,2,60
,ECE 20,2,2,2
,ECE 27,2,2,3
,ECE 75,2,2,35
,ECE 85,2,2,52
,ECE 88,2,2,27
,EN,1,2,71
,EN,10,2,72
,EN,3,2,36
,EN,7,2,81
,EN,9,2,65
,IC,10,2,82
,IC,12,2,12
,IC,13,2,61
,IC,4,2,37
,IC,7,2,42
,IC,8,2,45
,IC,9,2,73
,IC 17,2,2,86
,IC 24,2,2,87
,IC 33,2,2,74
,IC 34,2,2,75
,IC 35,2,2,46
,IC 51,2,2,88
,IC 55,2,2,47
,IC 56,2,2,48
,IC 57,2,2,22
,IC 60,2,2,83
,IC 61,2,2,76
,IC 87,2,2,38
,ICE,10,2,89
,ICE,6,2,57
,ICE,8,2,28
,ICE 1,2,2,84
,ICE 10,2,2,90
,ICE 11,2,2,49
,ICE 12,2,2,29
,ICE 13,2,2,69
,ICE 14,2,2,30
,ICE 15,2,2,23
,ICE 16,2,2,50
,ICE 17,2,2,4
,ICE 18,2,2,58
,ICE 20,2,2,66
,ICE 22,2,2,14
,ICE 23,2,2,24
,ICE 24,2,2,25
,ICE 25,2,2,39
,ICE 26,2,2,62
,ICE 28,2,2,70
,ICE 29,2,2,53
,ICE 3,2,2,26
,ICE 33,2,2,5
,ICE 4,2,2,56
,ICE 41,2,2,15
,ICE 42,2,2,19
,ICE 43,2,2,77
,ICE 45,2,2,16
,ICE 47,2,2,59
,ICE 49,2,2,31
,ICE 50,2,2,13
,ICE 51,2,2,32
,ICE 55,2,2,78
,ICE 6,2,2,6
,ICE 60,2,2,67
,ICE 62,2,2,85
,ICE 77,2,2,68
,ICE 78,2,2,7
,ICE 79,2,2,17
,ICE 82,2,2,33
,ICE 82,5,2,44
,ICE 83,2,2,18
,ICE 83,5,2,40
,ICE 91,2,2,43
,RJ,1,2,79
,RJ,10,2,63
,RJ,11,2,20
,RJ,9,2,91
