trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1178614,31:57:00,31:57:00,447793,0,,
1178614,32:11:00,32:13:00,265734,1,,
1178614,33:15:00,33:15:00,161314,2,,
1178614,33:25:00,33:25:00,219676,3,,
1222557,17:25:00,17:25:00,219676,0,,
1222557,17:33:00,17:38:00,161314,1,,
1222557,18:40:00,18:42:00,265734,2,,
1222557,18:53:00,18:53:00,447793,3,,
1378786,31:57:00,31:57:00,447793,0,,
1378786,32:11:00,32:13:00,265734,1,,
1378786,33:15:00,33:15:00,161314,2,,
1378786,33:25:00,33:25:00,219676,3,,
1435989,31:57:00,31:57:00,447793,0,,
1435989,32:11:00,32:13:00,265734,1,,
1435989,33:15:00,33:15:00,161314,2,,
1435989,33:25:00,33:25:00,219676,3,,
1582644,31:57:00,31:57:00,447793,0,,
1582644,32:11:00,32:13:00,265734,1,,
1582644,33:15:00,33:15:00,161314,2,,
1582644,33:25:00,33:25:00,219676,3,,
310714,18:31:00,18:31:00,219676,0,,
310714,18:39:00,18:41:00,161314,1,,
310714,19:41:00,19:43:00,265734,2,,
310714,19:58:00,19:58:00,447793,3,,
359689,31:57:00,31:57:00,447793,0,,
359689,32:11:00,32:13:00,265734,1,,
359689,33:15:00,33:15:00,161314,2,,
359689,33:25:00,33:25:00,219676,3,,
421612,31:57:00,31:57:00,447793,0,,
421612,32:11:00,32:13:00,265734,1,,
421612,33:15:00,33:15:00,161314,2,,
421612,33:25:00,33:25:00,219676,3,,
1345861,10:47:00,10:47:00,332813,0,,
1345861,10:54:00,10:54:00,183462,1,,
1544095,10:47:00,10:47:00,332813,0,,
1544095,10:54:00,10:54:00,183462,1,,
335783,15:47:00,15:47:00,183462,0,,
335783,15:53:00,15:53:00,332813,1,,
68461,10:47:00,10:47:00,332813,0,,
68461,10:54:00,10:54:00,183462,1,,
958399,15:47:00,15:47:00,183462,0,,
958399,15:53:00,15:53:00,332813,1,,
1065311,09:49:00,09:49:00,428943,0,,
1065311,10:06:00,10:06:00,264642,1,1,1
1065311,10:09:00,10:12:00,82830,2,,
1065311,11:01:00,11:04:00,513804,3,1,
1065311,11:11:00,11:11:00,478179,4,,
1131626,17:50:00,17:50:00,491319,0,,
1131626,17:53:00,17:53:00,264642,1,1,1
1131626,18:09:00,18:09:00,428943,2,,
1189308,17:49:00,17:49:00,428943,0,,
