stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
's-Hertogenbosch,,662641,51.69054,5.293723,1,
's-Hertogenbosch,662641,195903,51.69054,5.293723,,
Aachen Hbf,215131,287092,50.7678,6.091499,,
Aachen Süd(Gr),,127409,50.731915,6.04541,1,
Aachen Süd(Gr),127409,417305,50.731915,6.04541,,
"Aachen, Hbf",,215131,50.767723,6.092051,1,
Aalen Hbf,256591,275252,48.841015,10.096271,,
"Aalen, Hauptbahnhof",,256591,48.841602,10.096031,1,
Altena(Westf),635763,189574,51.301983,7.668808,,
"Altena, Bahnhof",,635763,51.301983,7.66881,1,
Altenbeken,,165798,51.766434,8.943322,1,
Altenbeken,165798,24424,51.766434,8.943319,,
Amersfoort Centraal,,450275,52.153465,5.373909,1,
Amersfoort Centraal,450275,682011,52.153465,5.373909,,
Amsterdam Centraal,,441272,52.37919,4.899431,1,
Amsterdam Centraal,441272,457251,52.37919,4.899431,,
Andernach,660467,669075,50.434544,7.404839,,
Andernach Bahnhof,,660467,50.434544,7.40484,1,
Angermünde,268963,156317,53.015793,13.995908,,3
Angermünde,268963,373821,53.01574,13.995672,,5
"Angermünde, Bahnhof",,268963,53.015823,13.995871,1,
Anklam,,16297,53.855984,13.701563,1,
Anklam,16297,197845,53.856102,13.701827,,
Ansbach,,397051,49.29803,10.578246,1,
Ansbach,397051,490127,49.29803,10.578239,,
Apeldoorn,,68017,52.20943,5.968491,1,
Apeldoorn,68017,375571,52.20943,5.968491,,
Arnhem Centraal,,431572,51.98478,5.901003,1,
Arnhem Centraal,431572,395191,51.98478,5.901003,,
Aschaffenburg Hbf,,608990,49.980556,9.1437,1,
Aschaffenburg Hbf,608990,398768,49.980556,9.143697,,
Augsburg Hbf,,151208,48.36544,10.885569,1,
Augsburg Hbf,151208,26860,48.36544,10.88557,,
Augustfehn,,77567,53.220894,7.759677,1,
Augustfehn,77567,267101,53.22084,7.759684,,
Bad Bentheim,180825,289121,52.30985,7.158539,,
Bad Bentheim Bahnhof,,180825,52.30953,7.158737,1,
Bad Bentheim(Gr),,669987,52.3091,7.04016,1,
Bad Bentheim(Gr),669987,328316,52.3091,7.04016,,
Bad Gastein,,371519,47.11178,13.131924,1,
Bad Gastein,371519,522162,47.11178,13.131924,,
Bad Hersfeld,,569843,50.869766,9.716581,1,
Bad Hersfeld,569843,398731,50.869766,9.716581,,
Bad Hofgastein,,680962,47.195343,13.100503,1,
Bad Hofgastein,680962,189374,47.195343,13.100503,,
Bad Kleinen,662966,258525,53.766975,11.466925,,
Bad Kleinen Bahnhof,,662966,53.76746,11.466429,1,
Bad Nauheim,96003,341433,50.367905,8.749334,,
Bad Nauheim Bahnhof,,96003,50.367798,8.748327,1,
Bad Oeynhausen,532092,492063,52.2054,8.796523,,
"Bad Oeynhausen, Bf/ZOB",,532092,52.2054,8.796519,1,
Bad Zwischenahn,,602614,53.182568,8.002996,1,
Bad Zwischenahn,602614,150800,53.18242,8.003398,,
Baden-Baden,,19920,48.7902,8.191036,1,
Baden-Baden,19920,404408,48.790325,8.190831,,
