route_id,service_id,trip_id
1,1030,1435989
1,208,1222557
1,284,421612
1,313,310714
1,315,1378786
1,525,1582644
1,73,359689
1,817,1178614
10,150,1544095
10,226,68461
10,235,958399
10,245,1345861
10,245,335783
11,101,1232305
11,113,78667
11,226,1131626
11,226,1189308
11,258,464049
11,350,675239
11,412,775362
11,414,234874
11,430,1065311
11,437,1507613
11,437,525833
11,519,535916
11,641,1475621
11,641,390308
11,757,1419440
11,757,157761
11,757,644873
11,77,58623
11,824,271505
11,89,121212
11,89,1549323
11,89,171806
11,955,1480794
11,955,1580864
12,1014,729641
12,1014,927173
12,1037,503317
12,144,1569585
12,158,1237474
12,166,1390445
12,231,115597
12,231,1319528
12,231,662807
12,263,257281
12,300,519915
12,37,1453713
12,431,888900
12,439,175670
12,441,1349251
12,455,590874
12,510,1281756
12,510,1439417
12,510,854447
12,521,1226047
12,538,1275525
12,628,167411
12,641,277300
12,641,905678
12,667,1524639
12,73,391066
12,827,156125
12,85,498059
12,879,540916
12,879,776864
12,884,1326920
12,884,1329572
12,884,1387496
12,884,513310
12,884,629335
12,884,647428
12,884,763813
12,891,709977
12,948,1138684
12,953,1004538
12,953,1045623
12,953,1276160
12,953,1354781
12,953,1554423
12,953,26601
12,953,289223
12,953,501376
12,953,581848
12,953,702643
12,953,727113
12,953,926575
12,953,938628
12,991,1152482
12,999,680001
13,1024,1095667
13,1032,528314
13,1047,1119702
13,1047,1262463
13,1047,588849
13,1047,593021
13,106,1579252
13,106,345078
13,106,705193
13,17,1341650
13,17,1445662
13,17,526309
13,17,684362
13,186,373736
13,186,837211
13,192,58408
13,197,1565992
13,245,1053781
13,258,436178
13,272,1135343
13,272,1336735
13,272,444503
13,272,455267
13,272,949104
13,272,985612
13,315,1326026
13,317,664228
13,331,187098
13,375,42023
13,375,445025
13,380,271932
13,407,667740
13,408,1181670
13,408,761407
13,423,784775
13,436,1276785
13,436,1296840
13,436,1332214
13,436,339022
13,436,480346
13,436,489739
13,436,51846
13,436,623723
13,436,686359
13,436,883768
13,439,198259
13,439,465229
13,442,1114492
13,442,139906
13,442,1500977
13,442,1591141
13,442,1593226
13,442,179607
13,442,19517
13,442,244498
13,442,406656
13,45,1000351
13,45,1073930
13,45,1178089
13,45,1255130
13,45,1470342
13,45,1565076
13,45,1578708
13,45,197851
13,45,229203
13,45,406191
13,45,539143
13,45,673023
13,45,724045
13,45,918853
13,45,971771
13,463,1342561
13,472,690991
13,517,45975
13,529,827303
13,589,1547121
13,614,734774
13,622,207489
13,626,1052022
13,627,493900
13,641,552125
13,665,549657
13,675,1184972
13,689,111371
13,73,1008523
13,73,1052017
13,73,1091924
13,73,1155652
13,73,1351562
13,73,1395506
13,73,1446976
13,73,522461
13,73,653901
13,73,67576
13,73,83573
13,73,845640
13,73,868049
13,73,899665
13,745,1273572
13,745,1487562
13,745,361440
13,745,759143
13,745,795178
13,808,1175556
13,808,210661
13,808,500229
13,808,565082
13,840,105624
13,855,880897
13,868,1328653
13,885,166559
13,916,1578610
13,927,1041124
13,927,204731
13,927,374224
13,927,465237
13,927,619653
13,936,1167428
13,945,14214
13,945,657733
13,953,678337
13,958,176004
13,960,859646
13,990,59395
13,998,129716
13,998,175709
13,998,205860
13,998,251995
13,998,311494
13,998,323588
13,998,482240
13,998,53672
13,998,611064
13,998,653615
13,998,706221
13,998,874089
13,998,893775
13,998,957179
13,998,990275
14,1009,819110
14,1049,1297901
14,106,1482973
14,12,1296158
14,134,1205457
14,14,1502439
14,177,98683
14,186,142712
14,186,148011
14,186,208551
14,186,512285
14,186,969802
14,197,1264474
14,197,1385745
14,197,77058
14,197,838283
14,197,987711
14,225,1096152
14,225,1335660
14,225,1398034
14,225,1410166
14,225,1467371
14,225,149736
14,225,1534167
14,225,186029
14,225,55752
14,225,585654
14,226,522548
14,234,281223
14,259,538565
14,278,135542
14,308,78551
14,331,930628
14,336,1067268
14,336,1588079
14,336,454515
14,342,1047376
14,36,1193291
14,369,146749
14,369,491154
14,408,1266100
14,408,1349401
14,408,1358106
14,408,180218
14,408,229627
14,408,25879
14,408,427435
14,408,453568
14,408,577709
14,408,664410
14,408,697178
14,408,74840
14,408,97237
14,433,366914
14,436,1004474
14,442,88564
14,446,299481
14,463,186895
14,480,1163953
14,480,687401
14,480,864051
14,495,1388837
14,53,1160594
14,540,341865
14,542,428011
14,546,540567
14,553,1121187
14,557,1145088
14,596,1013217
14,596,177077
14,596,233593
14,596,242337
14,599,871794
14,605,566692
14,611,909928
14,626,800648
14,637,476805
14,650,1278875
14,66,563479
14,66,954028
14,675,402771
14,728,1369454
14,728,318238
14,73,1254066
14,73,733330
14,73,780941
14,73,825692
14,750,1162509
14,781,401837
14,791,1426913
14,802,713253
14,809,497815
14,812,1154720
14,812,1334900
14,845,819211
14,882,1525069
14,882,855132
14,904,1228235
14,918,390881
14,926,1155196
14,932,1523520
14,932,936190
14,939,1529973
14,945,566513
14,953,961168
14,970,148968
14,970,345244
14,989,341963
14,998,564923
15,1010,31100
15,1040,680906
15,116,1531925
15,117,1438863
15,129,1348023
15,149,1057694
15,149,113918
15,149,1187280
15,149,1193389
15,149,1200556
15,149,1238767
15,149,1242268
15,149,1247883
15,149,129128
15,149,131726
15,149,135862
15,149,136153
15,149,1531303
15,149,157018
15,149,224364
15,149,23121
15,149,282809
15,149,318854
15,149,358421
15,149,484909
15,149,635879
15,149,650662
15,149,677016
15,149,68048
15,149,835111
15,149,860065
15,186,1235305
15,186,1245561
15,186,1358983
15,186,1418482
15,186,1563538
15,186,171972
15,186,350433
15,186,641645
15,186,897853
15,195,222137
15,197,264787
15,209,207029
15,226,1081484
15,234,161092
15,234,622643
15,245,1350687
15,258,541672
15,275,736998
15,354,709444
15,36,1061288
15,36,380037
15,36,415387
15,36,911694
15,36,973762
15,375,1128756
15,375,160978
15,375,591014
15,375,831852
15,375,908604
15,375,995226
15,405,481253
15,416,1264614
15,416,1279418
15,416,1481561
15,416,462615
15,416,985422
15,425,1281275
15,425,1482065
15,425,632247
15,439,247417
15,439,468388
15,439,519185
15,439,775411
15,440,606939
15,440,866506
15,442,1157277
15,442,1369509
15,442,338286
15,442,414979
15,442,449125
15,442,582000
15,442,826072
15,442,898158
15,442,937114
15,442,95513
15,463,1141191
15,463,1391056
15,475,411654
15,475,419618
15,475,655242
15,475,763208
15,477,794004
15,529,661042
15,53,1003177
15,53,1539401
15,53,156645
15,566,1571607
15,59,488063
15,592,194537
15,602,23323
15,612,1145946
15,624,1282343
15,624,853057
15,624,908840
15,650,1033175
15,650,108197
15,657,119396
15,657,126798
15,657,1355474
15,657,1507834
15,657,1565519
15,657,1571292
15,657,227869
15,657,291606
15,657,402599
15,657,412016
15,657,470396
15,657,533348
15,657,608536
15,657,669005
15,657,692768
15,657,78028
15,657,98600
15,675,1524913
15,675,2814
15,675,487886
15,675,721956
15,686,1026984
15,70,985514
15,709,1374665
15,709,691097
