agency_id,agency_name,agency_url,agency_timezone,agency_lang
1,Kasbachtalbahn,https://www.bahn.de,Europe/Berlin,de
10,DB Regio AG Mitte Region Hessen,https://www.bahn.de,Europe/Berlin,de
100,EVB ELBE-WESER GmbH,https://www.bahn.de,Europe/Berlin,de
101,ZVON Oberlausitz-Niederschlesien,https://www.bahn.de,Europe/Berlin,de
102,PKP Intercity,https://www.bahn.de,Europe/Berlin,de
103,THURBO,https://www.bahn.de,Europe/Berlin,de
104,Meridian,https://www.bahn.de,Europe/Berlin,de
105,EUROSTAR,https://www.bahn.de,Europe/Berlin,de
106,Ostdeutsche Eisenbahn GmbH,https://www.bahn.de,Europe/Berlin,de
107,Harzer Schmalspurbahn,https://www.bahn.de,Europe/Berlin,de
108,Hessische Landesbahn,https://www.bahn.de,Europe/Berlin,de
109,Rhenus Veniro,https://www.bahn.de,Europe/Berlin,de
11,Südwestdeutsche Verkehrs-AG,https://www.bahn.de,Europe/Berlin,de
110,City-Bahn Chemnitz,https://www.bahn.de,Europe/Berlin,de
111,DB Regio Mitte,https://www.bahn.de,Europe/Berlin,de
112,AKN Eisenbahn AG,https://www.bahn.de,Europe/Berlin,de
113,DB RegioNetz Verkehrs GmbH Erzgebirgsbahn,https://www.bahn.de,Europe/Berlin,de
114,800151 DB Regio AG Nordost,https://www.bahn.de,Europe/Berlin,de
115,Mitteldeutsche Regiobahn,https://www.bahn.de,Europe/Berlin,de
116,SNCF,https://www.bahn.de,Europe/Berlin,de
117,S Bahn Berlin GmbH,https://www.bahn.de,Europe/Berlin,de
118,DB Regio AG Mitte,https://www.bahn.de,Europe/Berlin,de
119,DB Fernverkehr (Codesharing),https://www.bahn.de,Europe/Berlin,de
12,Harzer Schmalspurbahnen,https://www.hsb.de/,Europe/Berlin,de
120,NEB Niederbarnimer Eisenbahn,https://www.bahn.de,Europe/Berlin,de
121,SDG Sächsische Dampfeisenbahngesellschaft mbH,https://www.bahn.de,Europe/Berlin,de
13,metronom,https://www.bahn.de,Europe/Berlin,de
14,HZZP,https://www.bahn.de,Europe/Berlin,de
15,Norddeutsche Eisenbahn Gesellschaft,https://www.bahn.de,Europe/Berlin,de
16,Montafoner Bahn,https://www.bahn.de,Europe/Berlin,de
17,Arverio Baden-Württemberg GmbH,https://www.bahn.de,Europe/Berlin,de
18,trilex - Die Länderbahn GmbH DLB,https://www.bahn.de,Europe/Berlin,de
19,DB RegioNetz Verkehrs GmbH Kurhessenbahn,https://www.bahn.de,Europe/Berlin,de
2,TRI Train Rental GmbH,https://www.bahn.de,Europe/Berlin,de
20,Flixtrain,https://www.bahn.de,Europe/Berlin,de
21,Freiberger Eisenbahngesellschaft,https://www.bahn.de,Europe/Berlin,de
22,Bodensee-Oberschwaben-Bahn,https://www.bahn.de,Europe/Berlin,de
23,agilis-Schnellzug,https://www.bahn.de,Europe/Berlin,de
24,GYRB Arverio Bayern GmbH,https://www.bahn.de,Europe/Berlin,de
25,Bentheimer Eisenbahn,https://www.bahn.de,Europe/Berlin,de
26,oberpfalzbahn - Die Länderbahn GmbH DLB,https://www.bahn.de,Europe/Berlin,de
27,Nordbahn Eisenbahngesellschaft,https://www.bahn.de,Europe/Berlin,de
28,DB Fernverkehr AG,https://www.bahn.de,Europe/Berlin,de
29,SBB,https://www.bahn.de,Europe/Berlin,de
3,Bayerische Regiobahn,https://www.bahn.de,Europe/Berlin,de
30,ZSSK,https://www.bahn.de,Europe/Berlin,de
31,ÖBB,https://www.bahn.de,Europe/Berlin,de
32,GmbH,https://www.bahn.de,Europe/Berlin,de
33,Bayerische Oberlandbahn,https://www.bahn.de,Europe/Berlin,de
34,KVG M,https://www.bahn.de,Europe/Berlin,de
35,MittelrheinBahn (Trans Regio),https://www.bahn.de,Europe/Berlin,de
36,RV Start Deutschland GmbH Niedersachsen-Mitte,https://www.bahn.de,Europe/Berlin,de
37,Nachtzug,https://www.bahn.de,Europe/Berlin,de
38,Verkehrsverbund Oberelbe,https://www.bahn.de,Europe/Berlin,de
39,WestfalenBahn,https://www.bahn.de,Europe/Berlin,de
4,agilis,https://www.bahn.de,Europe/Berlin,de
40,REGIOBAHN,https://www.bahn.de,Europe/Berlin,de
41,ABELLIO Rail Mitteldeutschland GmbH,https://www.bahn.de,Europe/Berlin,de
42,Hanseatische Eisenbahn GmbH,https://www.bahn.de,Europe/Berlin,de
43,DB Regio Stuttgart,https://www.bahn.de,Europe/Berlin,de
44,Süd-Thüringen-Bahn,https://www.bahn.de,Europe/Berlin,de
45,cantus Verkehrsgesellschaft,https://www.bahn.de,Europe/Berlin,de
46,VIAS Rail GmbH,https://www.bahn.de,Europe/Berlin,de
47,S-Bahn Hamburg,https://www.bahn.de,Europe/Berlin,de
48,MAV,https://www.bahn.de,Europe/Berlin,de
