route_long_name,route_short_name,agency_id,route_type,route_id,route_color,route_text_color
,10,28,2,854,,
,12N,119,2,463,,
,12N,28,2,702,,
,12N,31,2,802,,
,12N,70,2,734,,
,16,29,2,628,,
,2,31,2,393,,
,20,79,2,373,,
,20N,119,2,292,,
,20N,31,2,575,,
,27,28,2,311,,
,27,30,2,246,,
,27,70,2,735,,
,27N,102,2,623,,
,27N,28,2,752,,
,27N,31,2,893,,
,27N,48,2,176,,
,3,31,2,759,,
,43N,119,2,318,,
,43N,31,2,530,,
,50,31,2,189,,
,51,31,2,808,,
,6,31,2,541,,
,62,28,2,405,,
,62N,14,2,861,,
,62N,31,2,369,,
,62N,48,2,132,,
,75,103,2,911,,
,75,29,2,224,,
,82,116,2,80,,
,82,28,2,916,,
,83,116,2,491,,
,83,28,2,47,,
,84,116,2,166,,
,84,28,2,329,,
,89,28,2,629,,
,90,28,2,534,,
,90N,31,2,878,,
,91N,31,2,611,,
,A1,112,2,38,,
,A2,112,2,268,,
,A3,112,2,118,,
,C11,84,2,612,,
,C13,84,2,212,,
,C14,84,2,764,,
,C15,84,2,452,,
,CD 030,101,2,564,,
,CD 034,101,2,273,,
,CD 035,101,2,723,,
,CD 036,101,2,171,,
,CD 037,101,2,2,,
,CD 038,101,2,151,,
,CD 040,101,2,512,,
,CD 041,101,2,531,,
,CD 042,101,2,185,,
,CD 044,101,2,476,,
,CD 064,101,2,677,,
,CD 070,101,2,547,,
,CD 076,101,2,717,,
,CD 080,101,2,744,,
,CD 081,101,2,559,,
,CD 083,101,2,374,,
,CD 084,101,2,471,,
,CD 085,101,2,766,,
,CD 086,101,2,660,,
,CD 087,101,2,517,,
,DPN,60,2,607,,
,DPN,70,2,21,,
,DRB,121,2,336,,
,DRB,98,2,72,,
,DRF,37,2,199,,
,DRF,74,2,332,,
,DRF,8,2,388,,
,DRF,85,2,600,,
,ECM,28,2,809,,
,ECM,29,2,588,,
,ECM,76,2,565,,
,FEX,114,2,593,,
,FEX,61,2,673,,
,FLX10,20,2,240,73D700,FFFFFF
,HBX,54,2,736,,
,HSB,107,2,347,,
,HSB,12,2,792,,
,IC34,119,2,167,,
,IC35,119,2,225,,
,IC51,119,2,105,,
,IC56,119,2,27,,
,IC57,119,2,548,,
,IC87,119,2,274,,
,L24,101,2,615,,
,L7,18,2,502,,
,Lößnitzgrundbahn,38,2,753,,
,MBB,94,2,707,,
,MEX12,43,2,207,,
,MEX13,17,2,68,,
,MEX16,17,2,841,,
,MEX17,43,2,22,,
,MEX17a,43,2,775,,
,MEX17c,43,2,748,,
,MEX18,43,2,333,,
,MEX19,58,2,186,,
,MEX71,43,2,324,,
,MEX90,58,2,110,,
,N14,103,2,243,,
,N65,103,2,855,,
,N71,103,2,61,,
,NJ,29,2,900,,
,NJ,31,2,862,,
,NRB,113,2,639,,
,NRE,59,2,681,,
,Os,70,2,156,,
,P,1,2,177,,
,P,87,2,617,,
,R,31,2,761,,
,R,64,2,193,,
,RB1,60,2,281,,
,RB10,106,2,724,,
,RB10,69,2,63,,
,RB10a,43,2,410,,
,RB11,58,2,803,,
,RB11,73,2,687,,
,RB11,78,2,259,,
,RB110,115,2,513,,
,RB113,52,2,570,,
,RB12,120,2,168,,
,RB12,32,2,360,,
,RB12,73,2,209,,
,RB12,83,2,624,,
,RB13,106,2,890,,
,RB13,3,2,464,,
,RB13,88,2,134,,
,RB14,3,2,56,,
,RB140,60,2,497,,
,RB145,60,2,554,,
,RB15,106,2,887,,
,RB15,32,2,635,,
,RB15,4,2,634,,
,RB15,83,2,685,,
,RB16,32,2,776,,
,RB16,42,2,77,,
,RB16,73,2,43,,
,RB16,83,2,589,,
,RB17,106,2,523,,
,RB17,4,2,477,,
,RB17,43,2,645,,
,RB18,4,2,233,,
,RB18,43,2,361,,
,RB2,60,2,846,,
,RB20,114,2,101,,
,RB20,41,2,493,,
,RB20,59,2,817,,
,RB21,108,2,365,,
,RB21,114,2,351,,
,RB21,71,2,901,,
,RB21,73,2,453,,
,RB21,88,2,457,,
,RB22,10,2,366,,
,RB22,114,2,200,,
,RB22,4,2,786,,
,RB22,59,2,389,,
,RB22,88,2,213,,
,RB23,114,2,296,,
,RB23,26,2,777,,
,RB23,66,2,312,,
,RB23,78,2,444,,
,RB23,88,2,767,,
,RB24,114,2,818,,
,RB24,4,2,275,,
,RB24,59,2,524,,
,RB24,78,2,514,,
,RB25,120,2,481,,
,RB25,41,2,84,,
,RB25,59,2,804,,
,RB25,73,2,661,,
,RB25,78,2,39,,
,RB26,118,2,745,,
,RB26,120,2,525,,
,RB26,35,2,842,,
,RB26,4,2,597,,
,RB26,58,2,551,,
,RB26,86,2,515,,
,RB26,88,2,10,,
,RB27,120,2,44,,
,RB27,26,2,762,,
,RB27,58,2,703,,
,RB27,59,2,772,,
,RB27,60,2,234,,
,RB27,70,2,64,,
,RB27,88,2,106,,
,RB28,116,2,133,,
,RB28,26,2,204,,
,RB28,58,2,516,,
,RB28,71,2,642,,
,RB28,78,2,843,,
,RB28,88,2,442,,
,RB29,108,2,13,,
,RB29,26,2,560,,
,RB30,115,2,810,,
,RB30,58,2,498,,
,RB30,59,2,636,,
,RB30,73,2,905,,
,RB31,13,2,528,,
,RB31,49,2,549,,
,RB31,57,2,465,,
,RB31,58,2,793,,
,RB31,73,2,217,,
,RB31,77,2,637,,
,RB31,78,2,73,,
,RB32,114,2,895,,
,RB32,35,2,466,,
,RB32,59,2,650,,
,RB32,86,2,643,,
,RB32,88,2,794,,
,RB32,92,2,912,,
,RB32,96,2,725,,
,RB33,100,2,581,,
,RB33,106,2,458,,
,RB33,118,2,85,,
,RB33,42,2,127,,
,RB33,52,2,439,,
,RB33,59,2,315,,
,RB33,73,2,370,,
,RB33,77,2,434,,
,RB34,10,2,483,,
,RB34,4,2,501,,
,RB34,46,2,342,,
,RB34,77,2,539,,
,RB35,120,2,689,,
,RB35,46,2,9,,
,RB35,50,2,32,,
,RB35,66,2,406,,
,RB35,77,2,130,,
,RB36,120,2,668,,
,RB36,50,2,749,,
,RB36,54,2,781,,
,RB36,57,2,196,,
,RB37,106,2,244,,
,RB37,108,2,580,,
,RB37,109,2,440,,
,RB37,110,2,427,,
,RB37,2,2,646,,
,RB37,36,2,795,,
,RB37,50,2,566,,
,RB37,58,2,824,,
,RB38,19,2,40,,
,RB38,36,2,716,,
,RB38,50,2,737,,
,RB38,59,2,669,,
,RB38,66,2,169,,
,RB39,19,2,407,,
,RB39,46,2,114,,
,RB4,19,2,647,,
,RB4,60,2,362,,
,RB40,108,2,415,,
,RB40,52,2,543,,
,RB40,59,2,322,,
,RB40,67,2,630,,
,RB40,88,2,3,,
,RB40,92,2,182,,
,RB41,10,2,894,,
,RB41,108,2,390,,
,RB41,13,2,571,,
,RB41,44,2,832,,
,RB41,54,2,896,,
,RB41,92,2,420,,
,RB42,11,2,769,,
,RB42,49,2,71,,
,RB42,92,2,550,,
,RB42,96,2,728,,
,RB42a,11,2,662,,
,RB43,11,2,879,,
