stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
's-Hertogenbosch,,590948,51.69054,5.293723,1,
's-Hertogenbosch,590948,48038,51.69054,5.293723,,
Aachen Hbf,609021,330461,50.7678,6.091499,,
Aachen Schanz,644770,220611,50.769863,6.07384,,
Aachen Süd(Gr),,357472,50.731915,6.04541,1,
Aachen Süd(Gr),357472,60307,50.731915,6.04541,,
Aachen West,,179693,50.78036,6.070715,1,
Aachen West,179693,120447,50.78036,6.070715,,
"Aachen, Hbf",,609021,50.767723,6.092051,1,
"Aachen, Schanz (Jakobstraße)",,644770,50.769104,6.074103,1,
Aachen-Rothe Erde,,601023,50.770203,6.116475,1,
Aachen-Rothe Erde,601023,265428,50.770203,6.116475,,
Aalen Hbf,401695,307171,48.841015,10.096271,,
"Aalen, Hauptbahnhof",,401695,48.841602,10.096031,1,
Abenden,,375712,50.671085,6.476459,1,
Abenden,375712,513941,50.671085,6.476459,,
Abensberg,,610550,48.819454,11.846623,1,
Abensberg,610550,170723,48.819454,11.84662,,
Achern,324817,322078,48.63399,8.065324,,
Achern Bahnhof,,324817,48.6337,8.065003,1,
Achern Stadt,,578744,48.625423,8.068228,1,
Achern Stadt,578744,478006,48.625736,8.067706,,
Achim,296609,585169,53.015945,9.03038,,
Achim(b Bremen) (Zug),,296609,53.015995,9.030313,1,
Achkarren,494833,630297,48.06009,7.60787,,
"Achkarren, Bahnhof",,494833,48.059715,7.60803,1,
Achmer,,54283,52.390488,7.941875,1,
Achmer,54283,127803,52.39058,7.941991,,
Achterwehr,,539188,54.314915,9.964024,1,
Achterwehr,539188,333576,54.314915,9.964024,,
Adelebsen,,317870,51.577675,9.759952,1,
Adelebsen,317870,219926,51.57769,9.760044,,
Adelschlag,,449038,48.84076,11.211442,1,
Adelschlag,449038,338432,48.84076,11.211443,,
Adelsdorf(Mittelfr),,431757,49.474945,10.687041,1,
Adelsdorf(Mittelfr),431757,613782,49.474945,10.687041,,
Adelsheim Nord,339664,404848,49.42149,9.392754,,
Adelsheim Ost,473352,387036,49.403122,9.395127,,
"Adelsheim, Nordbahnhof",,339664,49.42145,9.392659,1,
"Adelsheim, Ost",,473352,49.4029,9.394968,1,
Adorf(Vogtl),379090,192845,50.324394,12.260678,,
"Adorf, Bahnhof",,379090,50.32397,12.261554,1,
"Adorf, Haltepunkt",,541886,50.763832,12.874753,1,
"Adorf, Haltepunkt",541886,118467,50.76388,12.873774,,
Affaltrach,,655327,49.137825,9.37913,1,
Affaltrach,655327,467028,49.137833,9.379012,,
Agatharied,,545865,47.766384,11.82544,1,
Agatharied,545865,640414,47.765606,11.824472,,
Agathenburg,,452352,53.564003,9.531541,1,
Agathenburg,452352,350891,53.56411,9.531244,,
Aglasterhausen,16370,253468,49.350098,8.990838,,
"Aglasterhausen, Bahnhof",,16370,49.35007,8.990771,1,
Aha,571295,570757,47.833225,8.134349,,
Aha (Schluchsee) Bahnhof,,571295,47.83329,8.134353,1,
Ahaus,295274,336553,52.08168,7.016453,,
"Ahaus, Bahnhof",,295274,52.08168,7.016453,1,
Ahlbeck Grenze,,511944,53.92284,14.215588,1,
Ahlbeck Grenze,511944,630541,53.921967,14.215549,,
Ahlbeck Ostseetherme,,674327,53.9426,14.179547,1,
Ahlbeck Ostseetherme,674327,548531,53.942623,14.179332,,
Ahlbeck Seebad,,528012,53.935627,14.188135,1,
Ahlen(Westf),44345,81229,51.761063,7.895488,,
"Ahlen, Bahnhof",,44345,51.761063,7.895491,1,
Ahlhorn,,114913,52.89937,8.209436,1,
Ahlhorn,114913,164919,52.899364,8.209509,,
Ahlhorn,114913,647419,52.899372,8.209362,,
Ahlten,107562,330085,52.37606,9.904613,,
Ahlten Bahnhof,,107562,52.376255,9.904213,1,
Ahnatal-Casselbreite Gl.1 Ri. Wolfhagen,673668,399743,51.36286,9.434109,,1
Ahnatal-Heckershausen Bahnhof,,630877,51.362984,9.422983,1,
Ahnatal-Heckershausen Casselbreite,,673668,51.365192,9.434839,1,
Ahnatal-Heckershausen Gl.1 Ri. Kassel,630877,96434,51.36297,9.422994,,1
Ahnatal-Heckershausen Gl.2 Ri. Wolfhagen,630877,294899,51.362988,9.422123,,2
Ahnatal-Weimar,,568177,51.36363,9.391588,1,
Ahnatal-Weimar,568177,116605,51.36363,9.391588,,
Ahnatal-Weimar Bahnhof,,135150,51.36363,9.392112,1,
Ahnatal-Weimar Gl.1 Ri.Wolfhagen,135150,328544,51.363407,9.391969,,1
Ahrbrück,,41779,50.489677,6.972391,1,
Ahrbrück,41779,378535,50.489677,6.972391,,
Ahrensburg,,252830,53.669125,10.23625,1,
Ahrensburg,252830,357708,53.66917,10.236203,,
"Ahrensburg, Gartenholz",,262643,53.688686,10.251822,1,
Ahrensburg-Gartenholz,262643,345767,53.68848,10.251786,,
Ahrensfelde,461438,665296,52.571392,13.565467,,44
Ahrensfelde Friedhof,384497,610361,52.580524,13.573094,,1
Ahrensfelde Nord,327335,111582,52.590714,13.581945,,1
"Ahrensfelde, Friedhof Bhf",,384497,52.58049,13.572999,1,
"Ahrensfelde, Nord Bhf",,327335,52.590733,13.581965,1,
Ahrweiler,309865,630083,50.54641,7.107258,,
Ahrweiler Markt,165768,2626,50.544228,7.094229,,
Aich (Niederbay),,135046,48.417313,12.398161,1,
Aich(Niederbay),135046,538719,48.417316,12.398163,,
Aichach,,642108,48.461117,11.122724,1,
Aichach,642108,424482,48.461117,11.122721,,
Aichstetten,436760,367508,47.887882,10.07494,,
Aichstetten Bahnhof,,436760,47.887985,10.074399,1,
Ainring,,345657,47.815033,12.964504,1,
Ainring,345657,173849,47.815033,12.964501,,
"Aitrach-Marstetten, Bahnhof",,150479,47.943577,10.080373,1,
Aix-en-Provence TGV,,559094,43.45517,5.317224,1,
Aix-en-Provence TGV,559094,113289,43.45517,5.317224,,
Albbruck,133288,482565,47.592236,8.131774,,
Albbruck Bahnhof,,133288,47.592274,8.131828,1,
Albersdorf,172588,579033,54.14632,9.292151,,
Albersdorf(Holst),,172588,54.14632,9.292151,1,
Albersweiler(Pfalz),556081,119085,49.218586,8.024059,,
"Albersweiler, Bahnhof",,556081,49.2186,8.023842,1,
"Albgaubad, Ettlingen",243433,433277,48.936832,8.41495,,
"Albgaubad, Ettlingen",243433,546162,48.936893,8.415184,,
Albig,625410,373778,49.771374,8.116579,,
"Albig, Bahnhof",,625410,49.771866,8.116512,1,
Albrechtshaus,,180217,51.64227,10.92926,1,
Albrechtshaus,180217,197624,51.642174,10.929267,,
Albshausen,26605,177916,50.545715,8.434869,,
Albsheim(Eis),606165,419015,49.58075,8.179166,,
"Albsheim, Bahnhof",,606165,49.580555,8.179277,1,
Albstadt-Ebingen,662737,288540,48.21029,9.026962,,
Albstadt-Ebingen West,156327,419664,48.21139,8.99698,,
Albstadt-Laufen Ort,530685,193422,48.22286,8.917316,,
Albstadt-Lautlingen,,37846,48.21361,8.954631,1,
Albstadt-Lautlingen,37846,578880,48.21364,8.95462,,
Aldekerk,121788,619817,51.43576,6.412542,,
Aldingen Bahnhof,,8866,48.096,8.712787,1,
Aldingen(b Spaichingen),8866,552097,48.095844,8.713033,,
Aletshausen,,449717,48.20131,10.383635,1,
Aletshausen,449717,446564,48.201313,10.383631,,
Alexisbad,,680020,51.648037,11.115112,1,
Alexisbad,680020,278698,51.648132,11.115311,,
Alfeld (Leine) Bahnhof,,172814,51.98114,9.81837,1,
Alfeld(Leine),172814,671425,51.98142,9.817779,,
Alfons-Auer-Straße,,631124,49.006016,12.108877,1,
Alfter Impekoven (S),,479827,50.71101,7.019831,1,
Alfter Witterschlick Bf,,409465,50.689697,7.026074,1,
Alfter-Impekoven,479827,296738,50.711018,7.019831,,
Alfter-Witterschlick,409465,187924,50.689697,7.026083,,
Algermissen,629788,469238,52.251965,9.96666,,
Algermissen Bahnhof,,629788,52.252445,9.96626,1,
Aligse,163116,38105,52.40346,9.979349,,
Aligse Bahnhof,,163116,52.40282,9.978899,1,
Allach,,290652,48.189938,11.467875,1,
Allendorf(Dillkr),371492,379617,50.743813,8.185486,,
Allensbach,279041,36534,47.714462,9.068852,,
Allensbach Bahnhof,,279041,47.71459,9.068493,1,
Allerheiligen,,73301,51.142532,6.756777,1,
Allerheiligen,73301,656063,51.142487,6.756777,,
Allerheiligenhöfe,,359686,47.26903,11.352969,1,
Allerheiligenhöfe,359686,269873,47.26903,11.352969,,
Allersberg (Rothsee),,471363,49.26213,11.212574,1,
Allersberg(Rothsee),471363,315941,49.26213,11.212573,,
Allmendingen,70992,313009,48.327736,9.722427,,
Allmendingen Bahnhof,,70992,48.327637,9.722745,1,
Alpen,664272,29872,51.583393,6.518041,,
Alpen Bahnhof,,664272,51.583714,6.517664,1,
Alpirsbach,410792,296954,48.343807,8.398251,,
Alpirsbach Bahnhof,,410792,48.343956,8.398278,1,
Alsbach-Hähnlein-Alsbach Hähnlein-Alsbach Bahnhof,,517933,49.73978,8.606479,1,
Alsdorf (Sieg) Alsdorf Bf,,565504,50.780884,7.890478,1,
Alsdorf (Sieg) Grünebacherhütte Bf,,210306,50.78165,7.891538,1,
Alsdorf Poststraße,,69850,50.855675,6.19705,1,
Alsdorf Poststraße,69850,678623,50.855675,6.19705,,
Alsdorf(Westerw),565504,425411,50.78089,7.890486,,
"Alsdorf, Annapark Bahnhof (Bus)",,10294,50.87082,6.157457,1,
Alsdorf-Annapark,10294,503269,50.87082,6.157457,,
Alsdorf-Kellersberg,,202521,50.867527,6.167354,1,
Alsdorf-Kellersberg,202521,144250,50.867527,6.167354,,
Alsdorf-Mariadorf,,156395,50.861977,6.188454,1,
Alsdorf-Mariadorf,156395,599559,50.861977,6.188454,,
Alsenz,608220,220689,49.727493,7.817189,,
"Alsenz, Bahnhof",,608220,49.727745,7.817202,1,
Alsfeld Bahnhof,,113649,50.750732,9.264839,1,
Alsfeld(Oberhess),113649,70541,50.75096,9.264297,,
Alsheim,80899,112918,49.76553,8.342462,,
"Alsheim, Bahnhof",,80899,49.765453,8.342573,1,
Alt Hüttendorf,276881,414458,52.957436,13.783584,,1
Alt Rosenthal,245001,48345,52.550404,14.278627,,
"Alt Rosenthal, Bahnhof",,245001,52.550312,14.278221,1,
Altach,,670315,47.352074,9.661128,1,
Altach,670315,468657,47.352074,9.661128,,
Altbach,,85201,48.720314,9.382436,1,
Altbach,85201,109488,48.720394,9.382384,,
Altdorf (b Nürnberg),,228564,49.390003,11.353528,1,
Altdorf West,,559160,49.391144,11.341464,1,
Altdorf West,559160,377753,49.391148,11.341467,,
Altdorf(b Nürnberg),228564,616603,49.389835,11.353673,,
Altdöbern,241290,348532,51.65251,14.009376,,1
"Altdöbern, Bahnhof",,241290,51.65256,14.009347,1,
Alte Veste,,70912,49.454323,10.972364,1,
Alte Veste,70912,542771,49.454323,10.972363,,
Altefähr,478070,237463,54.322926,13.14101,,
Altefähr Bahnhof,,478070,54.322987,13.141077,1,
Altena(Westf),625442,132603,51.301983,7.668808,,
"Altena, Bahnhof",,625442,51.301983,7.66881,1,
Altenahr,470509,469993,50.51565,6.989707,,
Altenahr Bf,,470509,50.515663,6.989585,1,
Altenahr Kreuzberg Bf,,538244,50.506454,6.978526,1,
Altenau (Bay),,406596,47.64837,11.017379,1,
