route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,L,Malines -- Muizen,,100,,,
10,NMBS/SNCB,L,Anvers-Central -- Gand-Saint-Pierre,,100,,,
100,NMBS/SNCB,L,Liège-Guillemins -- Glons,,100,,,
1000,NMBS/SNCB,BUS,Hasselt -- Louvain,,700,,,
1001,NMBS/SNCB,BUS,Tirlemont -- Liège-Guillemins,,700,,,
1002,NMBS/SNCB,BUS,Tirlemont -- Ans,,700,,,
1003,NMBS/SNCB,BUS,Grammont -- Denderleeuw,,700,,,
1004,NMBS/SNCB,BUS,Audenarde -- Zottegem,,700,,,
1005,NMBS/SNCB,BUS,Hasselt -- Tongres,,700,,,
1006,NMBS/SNCB,BUS,Mons -- Quiévrain,,700,,,
1007,NMBS/SNCB,BUS,Hasselt -- Diest,,700,,,
1008,NMBS/SNCB,BUS,Diest -- Aarschot,,700,,,
1009,NMBS/SNCB,BUS,Braine-le-Comte -- Saint-Ghislain,,700,,,
101,NMBS/SNCB,L,Anvers-Noorderdokken -- Puurs,,100,,,
1010,NMBS/SNCB,BUS,Mons -- Braine-le-Comte,,700,,,
1011,NMBS/SNCB,BUS,Hal -- Mons,,700,,,
1012,NMBS/SNCB,BUS,Bruxelles-Midi -- Nivelles,,700,,,
1013,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Zottegem,,700,,,
1014,NMBS/SNCB,BUS,Zottegem -- Grammont,,700,,,
1015,NMBS/SNCB,BUS,Hal -- Enghien,,700,,,
1016,NMBS/SNCB,BUS,Bruxelles-Midi -- Enghien,,700,,,
1017,NMBS/SNCB,BUS,Ath -- Leuze,,700,,,
1018,NMBS/SNCB,BUS,Tournai -- Ath,,700,,,
1019,NMBS/SNCB,BUS,Enghien -- Ath,,700,,,
102,NMBS/SNCB,L,Boom -- Hoboken-Polder,,100,,,
1020,NMBS/SNCB,BUS,Bruxelles-Midi -- Ath,,700,,,
1021,NMBS/SNCB,BUS,Enghien -- Grammont,,700,,,
1022,NMBS/SNCB,BUS,Hal -- Tournai,,700,,,
1023,NMBS/SNCB,BUS,Anvers-Central -- Malines,,700,,,
1024,NMBS/SNCB,BUS,Schaerbeek -- Anvers-Central,,700,,,
1025,NMBS/SNCB,BUS,Anvers-Central -- Kontich-Lint,,700,,,
1026,NMBS/SNCB,BUS,Bruxelles-Midi -- Anvers-Central,,700,,,
1027,NMBS/SNCB,BUS,Vilvorde -- Bruxelles-Nord,,700,,,
1028,NMBS/SNCB,BUS,Bruxelles-Midi -- Luttre,,700,,,
1029,NMBS/SNCB,BUS,Jette -- Denderleeuw,,700,,,
103,NMBS/SNCB,L,Anvers-Berchem -- Lierre,,100,,,
1030,NMBS/SNCB,BUS,Jette -- Alost,,700,,,
1031,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Denderleeuw,,700,,,
1032,NMBS/SNCB,BUS,Namur -- Marloie,,700,,,
1033,NMBS/SNCB,BUS,Marloie -- Ciney,,700,,,
1034,NMBS/SNCB,BUS,Arlon -- Marbehan,,700,,,
1035,NMBS/SNCB,BUS,Namur -- Ciney,,700,,,
1036,NMBS/SNCB,BUS,Ottignies -- Gembloux,,700,,,
1037,NMBS/SNCB,BUS,Luxembourg (LU) -- Marbehan,,700,,,
1038,NMBS/SNCB,BUS,Luxembourg (LU) -- Ciney,,700,,,
1039,NMBS/SNCB,BUS,Namur -- Rochefort-Jemelle,,700,,,
104,NMBS/SNCB,IC,Malines -- Louvain,,103,,,
1040,NMBS/SNCB,BUS,Rochefort-Jemelle -- Ciney,,700,,,
1041,NMBS/SNCB,BUS,Ottignies -- Namur,,700,,,
1042,NMBS/SNCB,BUS,Audenarde -- Courtrai,,700,,,
1043,NMBS/SNCB,BUS,Burst -- Denderleeuw,,700,,,
1044,NMBS/SNCB,BUS,Zottegem -- Denderleeuw,,700,,,
1045,NMBS/SNCB,BUS,Audenarde -- Denderleeuw,,700,,,
1046,NMBS/SNCB,BUS,Courtrai -- Roulers,,700,,,
1047,NMBS/SNCB,BUS,Bruges -- Lichtervelde,,700,,,
1048,NMBS/SNCB,BUS,Bruxelles-Midi -- Zottegem,,700,,,
1049,NMBS/SNCB,BUS,Anvers-Berchem -- Hoboken-Polder,,700,,,
105,NMBS/SNCB,L,Louvain -- Sint-Joris-Weert,,100,,,
1050,NMBS/SNCB,BUS,Liège-Guillemins -- Huy,,700,,,
1051,NMBS/SNCB,BUS,Hasselt -- Schulen,,700,,,
1052,NMBS/SNCB,BUS,Namur -- Dinant,,700,,,
