service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:49516657,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49516678,0,1,0,0,0,0,0,20260224,20260224
IDFM:TN:49516821,0,0,0,0,0,1,1,20260228,20260308
IDFM:TN:49516859,0,0,0,0,0,1,0,20260228,20260307
IDFM:TN:49516864,1,1,1,1,1,0,0,20260302,20260306
IDFM:TN:49516865,0,0,1,1,1,0,0,20260225,20260306
IDFM:TN:49516925,1,1,1,1,1,0,0,20260309,20260324
IDFM:TN:49516927,1,1,1,1,1,0,0,20260309,20260324
IDFM:TN:49516936,0,0,0,0,0,1,1,20260321,20260322
IDFM:TN:49516949,1,1,1,1,1,0,0,20260309,20260324
IDFM:TN:49516984,0,0,0,0,0,0,1,20260322,20260322
IDFM:TN:49516993,0,0,0,0,0,1,0,20260321,20260321
IDFM:TN:49517075,0,0,0,0,0,1,1,20260314,20260315
IDFM:TN:49517112,0,0,0,0,0,0,1,20260315,20260315
IDFM:TN:49517130,0,0,0,0,0,0,1,20260301,20260308
IDFM:TN:49517148,0,0,0,0,0,0,1,20260301,20260301
IDFM:TN:49517183,0,0,0,0,0,0,1,20260308,20260308
IDFM:TN:49517193,0,0,0,0,0,1,0,20260228,20260228
IDFM:TN:49517218,0,1,1,1,1,0,0,20260310,20260324
IDFM:TN:49517222,1,1,1,1,1,0,0,20260309,20260324
IDFM:TN:49517267,1,0,0,0,0,0,0,20260309,20260323
IDFM:TN:49517309,1,0,0,0,0,0,1,20260301,20260309
IDFM:TN:49517360,0,0,1,1,1,0,0,20260225,20260307
IDFM:TN:49517367,0,0,1,1,1,0,0,20260225,20260308
IDFM:TN:49517512,1,1,0,0,0,0,0,20260323,20260324
IDFM:TN:49517518,1,1,1,1,1,0,0,20260309,20260313
IDFM:TN:49517539,0,0,1,1,1,0,0,20260225,20260227
IDFM:TN:49517615,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49517616,0,0,0,0,0,0,1,20260301,20260322
IDFM:TN:49517617,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49517619,0,0,0,0,0,1,0,20260228,20260321
IDFM:TN:49517637,0,0,0,0,0,0,1,20260301,20260322
IDFM:TN:49517700,0,0,0,0,0,1,0,20260314,20260314
IDFM:TN:49517703,0,0,0,0,0,0,1,20260315,20260322
IDFM:TN:49517704,0,0,0,0,0,0,1,20260314,20260322
IDFM:TN:49517942,0,0,0,0,0,1,1,20260228,20260321
IDFM:TN:49517979,1,0,1,1,1,0,0,20260302,20260306
IDFM:TN:49517980,0,1,0,0,0,0,0,20260303,20260303
IDFM:TN:49517982,1,1,1,1,1,0,0,20260302,20260324
IDFM:TN:49518146,1,1,1,1,1,0,0,20260309,20260324
IDFM:TN:49518151,1,0,0,0,0,0,0,20260316,20260316
IDFM:TN:49518152,0,0,0,0,1,0,0,20260227,20260306
IDFM:TN:49518154,1,1,1,1,0,0,0,20260302,20260305
IDFM:TN:49518157,0,0,1,1,0,0,0,20260225,20260226
IDFM:TN:49518162,1,0,1,1,1,0,0,20260309,20260313
IDFM:TN:49518169,0,1,0,0,0,0,0,20260310,20260310
IDFM:TN:49518247,1,1,1,1,1,0,0,20260309,20260320
IDFM:TN:49518280,1,1,1,1,1,0,0,20260302,20260313
IDFM:TN:49518352,0,0,0,0,0,1,1,20260314,20260322
IDFM:TN:49518356,0,0,0,0,0,1,0,20260314,20260321
IDFM:TN:49518532,0,0,0,0,0,1,0,20260307,20260307
IDFM:TN:49518713,1,1,0,0,0,0,0,20260316,20260324
IDFM:TN:49518723,1,0,0,0,0,0,0,20260316,20260323
