pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
IDFM:StopPlaceEntrance:50148638:monomodalStopPlace:47009,IDFM:StopPlaceEntrance:50148638,IDFM:monomodalStopPlace:47009,1,1,107.03,136,,,,,
IDFM:StopPlaceEntrance:50148639:monomodalStopPlace:47009,IDFM:StopPlaceEntrance:50148639,IDFM:monomodalStopPlace:47009,1,1,77.86,99,,,,,
IDFM:StopPlaceEntrance:50170264:monomodalStopPlace:47095,IDFM:StopPlaceEntrance:50170264,IDFM:monomodalStopPlace:47095,1,1,85.51,108,,,,,
IDFM:StopPlaceEntrance:50170458:monomodalStopPlace:47095,IDFM:StopPlaceEntrance:50170458,IDFM:monomodalStopPlace:47095,1,1,69.21,88,,,,,
IDFM:StopPlaceEntrance:50170597:486895,IDFM:StopPlaceEntrance:50170597,IDFM:486895,1,1,46.15,58,,,,,
IDFM:StopPlaceEntrance:50170597:486897,IDFM:StopPlaceEntrance:50170597,IDFM:486897,1,1,48.04,61,,,,,
IDFM:StopPlaceEntrance:50170368:486895,IDFM:StopPlaceEntrance:50170368,IDFM:486895,1,1,60.7,77,,,,,
IDFM:StopPlaceEntrance:50170368:486897,IDFM:StopPlaceEntrance:50170368,IDFM:486897,1,1,60.93,77,,,,,
IDFM:StopPlaceEntrance:50148647:monomodalStopPlace:47052,IDFM:StopPlaceEntrance:50148647,IDFM:monomodalStopPlace:47052,1,1,126.97,161,,,,,
IDFM:StopPlaceEntrance:50148772:monomodalStopPlace:47052,IDFM:StopPlaceEntrance:50148772,IDFM:monomodalStopPlace:47052,1,1,132.11,168,,,,,
IDFM:StopPlaceEntrance:50148645:monomodalStopPlace:47046,IDFM:StopPlaceEntrance:50148645,IDFM:monomodalStopPlace:47046,1,1,74.61,95,,,,,
IDFM:StopPlaceEntrance:50148789:monomodalStopPlace:47046,IDFM:StopPlaceEntrance:50148789,IDFM:monomodalStopPlace:47046,1,1,72.69,92,,,,,
IDFM:StopPlaceEntrance:50148245:21940,IDFM:StopPlaceEntrance:50148245,IDFM:21940,1,1,198.65,253,,,,,
IDFM:StopPlaceEntrance:50148245:462914,IDFM:StopPlaceEntrance:50148245,IDFM:462914,1,1,202.83,258,,,,,
IDFM:StopPlaceEntrance:50148244:21940,IDFM:StopPlaceEntrance:50148244,IDFM:21940,1,1,61.58,78,,,,,
IDFM:StopPlaceEntrance:50148244:462914,IDFM:StopPlaceEntrance:50148244,IDFM:462914,1,1,63.14,80,,,,,
IDFM:StopPlaceEntrance:50148246:21940,IDFM:StopPlaceEntrance:50148246,IDFM:21940,1,1,198.38,252,,,,,
IDFM:StopPlaceEntrance:50148246:462914,IDFM:StopPlaceEntrance:50148246,IDFM:462914,1,1,198.41,252,,,,,
IDFM:StopPlaceEntrance:50148241:462914,IDFM:StopPlaceEntrance:50148241,IDFM:462914,1,1,58.34,74,,,,,
IDFM:StopPlaceEntrance:50148241:21940,IDFM:StopPlaceEntrance:50148241,IDFM:21940,1,1,65.58,83,,,,,
IDFM:21940:StopPlaceEntrance:50148240,IDFM:21940,IDFM:StopPlaceEntrance:50148240,1,0,59.47,75,,,,,
IDFM:462914:StopPlaceEntrance:50148240,IDFM:462914,IDFM:StopPlaceEntrance:50148240,1,0,66.23,84,,,,,
IDFM:StopPlaceEntrance:50148243:462914,IDFM:StopPlaceEntrance:50148243,IDFM:462914,1,1,60.51,77,,,,,
IDFM:StopPlaceEntrance:50148243:21940,IDFM:StopPlaceEntrance:50148243,IDFM:21940,1,1,71.54,91,,,,,
IDFM:StopPlaceEntrance:50148242:462914,IDFM:StopPlaceEntrance:50148242,IDFM:462914,1,1,35.7,45,,,,,
IDFM:StopPlaceEntrance:50148242:21940,IDFM:StopPlaceEntrance:50148242,IDFM:21940,1,1,50.01,63,,,,,
IDFM:StopPlaceEntrance:50147978:463043,IDFM:StopPlaceEntrance:50147978,IDFM:463043,1,1,124,157,,,,,
