from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:463079,IDFM:21966,2,12
IDFM:monomodalStopPlace:473891,IDFM:monomodalStopPlace:44201,2,189
IDFM:471214,IDFM:monomodalStopPlace:45771,2,20
IDFM:monomodalStopPlace:473553,IDFM:472535,2,198
IDFM:monomodalStopPlace:473891,IDFM:472591,2,191
IDFM:471449,IDFM:22940,2,148
IDFM:472627,IDFM:472451,2,6
IDFM:472291,IDFM:472152,2,27
IDFM:471592,IDFM:472323,2,116
IDFM:471627,IDFM:2921,2,155
IDFM:472344,IDFM:472323,2,140
IDFM:22156,IDFM:462955,2,11
IDFM:40003,IDFM:471450,2,166
IDFM:monomodalStopPlace:43104,IDFM:9321,2,232
IDFM:472869,IDFM:472095,2,76
IDFM:472042,IDFM:monomodalStopPlace:473590,2,18
IDFM:monomodalStopPlace:473519,IDFM:470645,2,28
IDFM:monomodalStopPlace:43133,IDFM:monomodalStopPlace:473362,2,101
IDFM:471794,IDFM:472627,2,134
IDFM:471746,IDFM:monomodalStopPlace:473578,2,133
IDFM:473939,IDFM:473928,2,4
IDFM:470750,IDFM:472085,2,84
IDFM:480170,IDFM:monomodalStopPlace:473890,2,10
IDFM:474062,IDFM:21958,2,176
IDFM:22218,IDFM:472519,2,303
IDFM:monomodalStopPlace:470803,IDFM:490992,2,40
IDFM:471724,IDFM:472546,2,63
IDFM:470731,IDFM:monomodalStopPlace:473851,2,122
IDFM:471716,IDFM:monomodalStopPlace:43154,2,18
IDFM:470788,IDFM:482915,2,18
IDFM:472833,IDFM:2279,2,135
IDFM:462970,IDFM:470624,2,285
IDFM:470766,IDFM:471389,2,12
IDFM:monomodalStopPlace:472704,IDFM:471631,2,145
IDFM:471776,IDFM:8878,2,244
IDFM:472509,IDFM:471427,2,71
IDFM:472409,IDFM:471014,2,74
IDFM:472663,IDFM:monomodalStopPlace:473103,2,152
IDFM:monomodalStopPlace:473288,IDFM:471596,2,171
IDFM:472095,IDFM:472655,2,142
IDFM:monomodalStopPlace:46990,IDFM:monomodalStopPlace:44619,2,313
IDFM:471604,IDFM:463006,2,225
IDFM:491411,IDFM:472950,2,377
IDFM:13271,IDFM:471868,2,154
IDFM:472814,IDFM:22007,2,303
IDFM:monomodalStopPlace:46568,IDFM:471570,2,10
IDFM:472138,IDFM:471459,2,79
IDFM:22168,IDFM:463026,2,162
IDFM:470624,IDFM:471940,2,76
IDFM:monomodalStopPlace:43186,IDFM:474026,2,1
IDFM:monomodalStopPlace:477262,IDFM:471738,2,87
IDFM:monomodalStopPlace:43146,IDFM:473929,2,14
IDFM:472463,IDFM:471446,2,69
IDFM:462972,IDFM:463300,2,140
IDFM:471341,IDFM:472273,2,20
IDFM:471552,IDFM:471299,2,119
IDFM:472546,IDFM:28984,2,344
IDFM:471509,IDFM:monomodalStopPlace:470195,2,213
IDFM:471986,IDFM:470954,2,24
IDFM:472124,IDFM:471186,2,270
IDFM:471597,IDFM:472947,2,8
IDFM:471077,IDFM:471030,2,218
IDFM:472308,IDFM:470679,2,138
IDFM:472766,IDFM:472060,2,22
IDFM:471271,IDFM:19587,2,119
IDFM:471962,IDFM:424724,2,280
IDFM:470732,IDFM:471868,2,11
IDFM:471482,IDFM:470728,2,248
IDFM:472386,IDFM:472057,2,108
IDFM:463159,IDFM:463158,2,180
IDFM:471533,IDFM:472723,2,7
IDFM:470774,IDFM:monomodalStopPlace:411387,2,25
IDFM:463182,IDFM:472757,2,300
IDFM:monomodalStopPlace:473367,IDFM:471380,2,119
IDFM:471065,IDFM:monomodalStopPlace:473577,2,30
IDFM:472267,IDFM:470751,2,222
IDFM:472582,IDFM:472695,2,166
IDFM:473003,IDFM:471427,2,107
IDFM:472625,IDFM:470860,2,53
IDFM:463129,IDFM:22178,2,180
IDFM:monomodalStopPlace:46375,IDFM:471123,2,9
IDFM:21964,IDFM:463300,2,480
IDFM:472310,IDFM:472547,2,61
IDFM:470624,IDFM:472142,2,108
IDFM:472887,IDFM:22920,2,105
IDFM:472371,IDFM:monomodalStopPlace:47944,2,29
IDFM:472739,IDFM:471661,2,296
IDFM:471382,IDFM:monomodalStopPlace:46902,2,16
IDFM:424724,IDFM:472448,2,234
IDFM:monomodalStopPlace:411387,IDFM:monomodalStopPlace:473340,2,71
IDFM:463193,IDFM:483760,2,245
IDFM:471248,IDFM:monomodalStopPlace:43077,2,47
IDFM:462948,IDFM:462947,2,97
IDFM:472934,IDFM:471063,2,37
IDFM:monomodalStopPlace:47665,IDFM:472583,2,22
IDFM:471691,IDFM:491411,2,351
IDFM:462961,IDFM:463316,2,284
IDFM:472230,IDFM:2984,2,80
IDFM:474062,IDFM:472577,2,176
IDFM:471856,IDFM:22007,2,278
IDFM:472054,IDFM:32399,2,55
IDFM:41519,IDFM:22156,2,709
IDFM:monomodalStopPlace:470533,IDFM:423884,2,87
IDFM:472509,IDFM:470796,2,39
IDFM:471393,IDFM:470924,2,228
IDFM:463046,IDFM:470924,2,170
IDFM:472869,IDFM:472502,2,67
IDFM:471918,IDFM:472319,2,38
IDFM:472384,IDFM:472468,2,9
IDFM:monomodalStopPlace:473387,IDFM:472500,2,174
IDFM:monomodalStopPlace:473336,IDFM:monomodalStopPlace:59301,2,80
IDFM:471886,IDFM:16317,2,253
IDFM:monomodalStopPlace:427870,IDFM:31265,2,228
IDFM:471907,IDFM:monomodalStopPlace:473109,2,47
IDFM:monomodalStopPlace:411390,IDFM:472496,2,48
IDFM:471629,IDFM:471661,2,7
IDFM:474065,IDFM:472063,2,215
IDFM:22218,IDFM:472546,2,317
IDFM:29262,IDFM:471297,2,98
IDFM:473009,IDFM:471905,2,29
IDFM:monomodalStopPlace:43201,IDFM:472677,2,23
IDFM:472378,IDFM:463182,2,375
IDFM:463309,IDFM:463048,2,300
IDFM:22196,IDFM:463037,2,14
IDFM:463023,IDFM:471077,2,350
IDFM:monomodalStopPlace:473596,IDFM:472090,2,203
IDFM:18841,IDFM:471113,2,83
IDFM:monomodalStopPlace:473321,IDFM:monomodalStopPlace:43149,2,115
IDFM:34333,IDFM:472701,2,221
IDFM:21969,IDFM:22162,2,157
IDFM:471329,IDFM:monomodalStopPlace:473546,2,189
IDFM:472823,IDFM:470824,2,54
IDFM:463246,IDFM:473924,2,175
IDFM:472176,IDFM:471896,2,16
IDFM:22195,IDFM:463246,2,180
IDFM:471036,IDFM:472732,2,193
IDFM:24920,IDFM:471421,2,159
IDFM:473989,IDFM:473921,2,51
IDFM:474047,IDFM:monomodalStopPlace:473296,2,55
IDFM:monomodalStopPlace:473115,IDFM:471835,2,173
IDFM:470639,IDFM:monomodalStopPlace:473288,2,183
IDFM:monomodalStopPlace:50904,IDFM:monomodalStopPlace:43127,2,305
IDFM:21958,IDFM:474062,2,176
IDFM:monomodalStopPlace:47900,IDFM:470867,2,19
IDFM:monomodalStopPlace:45739,IDFM:471494,2,63
IDFM:monomodalStopPlace:43212,IDFM:13101,2,205
IDFM:8082,IDFM:8083,2,60
IDFM:21906,IDFM:463188,2,86
IDFM:22026,IDFM:462962,2,600
IDFM:471467,IDFM:monomodalStopPlace:473553,2,184
IDFM:471409,IDFM:monomodalStopPlace:473582,2,0
IDFM:491800,IDFM:472978,2,77
IDFM:471564,IDFM:472094,2,212
IDFM:monomodalStopPlace:473582,IDFM:470986,2,62
IDFM:471607,IDFM:494991,2,313
IDFM:30296,IDFM:472872,2,58
IDFM:471968,IDFM:472030,2,10
IDFM:472881,IDFM:36266,2,20
IDFM:monomodalStopPlace:46304,IDFM:472347,2,16
IDFM:473989,IDFM:monomodalStopPlace:45102,2,22
IDFM:471653,IDFM:8645,2,232
IDFM:20411,IDFM:monomodalStopPlace:43216,2,241
IDFM:471150,IDFM:472273,2,38
IDFM:463166,IDFM:22211,2,5
IDFM:471862,IDFM:monomodalStopPlace:474207,2,178
IDFM:16317,IDFM:471886,2,253
IDFM:472570,IDFM:472718,2,67
IDFM:monomodalStopPlace:47897,IDFM:470994,2,4
IDFM:474065,IDFM:471200,2,196
IDFM:22230,IDFM:472173,2,378
IDFM:470789,IDFM:34672,2,21
IDFM:470789,IDFM:472098,2,32
IDFM:471871,IDFM:471182,2,78
IDFM:monomodalStopPlace:473372,IDFM:monomodalStopPlace:43080,2,54
IDFM:472890,IDFM:471971,2,38
IDFM:monomodalStopPlace:46286,IDFM:488126,2,44
IDFM:2759,IDFM:monomodalStopPlace:473372,2,36
IDFM:423185,IDFM:monomodalStopPlace:43170,2,205
IDFM:490774,IDFM:490794,2,28
IDFM:472138,IDFM:monomodalStopPlace:473448,2,192
IDFM:monomodalStopPlace:473073,IDFM:35376,2,0
IDFM:3087,IDFM:monomodalStopPlace:43081,2,193
IDFM:472958,IDFM:472393,2,50
IDFM:471724,IDFM:471495,2,37
IDFM:471328,IDFM:472124,2,287
IDFM:463021,IDFM:463022,2,72
IDFM:monomodalStopPlace:473418,IDFM:472418,2,143
IDFM:472013,IDFM:472273,2,67
IDFM:472124,IDFM:471607,2,294
IDFM:472282,IDFM:monomodalStopPlace:43076,2,73
IDFM:470860,IDFM:472217,2,89
IDFM:monomodalStopPlace:473190,IDFM:472854,2,52
IDFM:monomodalStopPlace:47948,IDFM:3835,2,228
IDFM:monomodalStopPlace:46444,IDFM:480211,2,227
IDFM:471479,IDFM:470918,2,107
IDFM:17288,IDFM:monomodalStopPlace:473876,2,16
IDFM:monomodalStopPlace:43184,IDFM:monomodalStopPlace:473480,2,94
IDFM:472124,IDFM:471022,2,275
IDFM:470914,IDFM:monomodalStopPlace:473339,2,11
IDFM:monomodalStopPlace:470549,IDFM:484165,2,101
IDFM:monomodalStopPlace:43081,IDFM:3087,2,193
IDFM:22190,IDFM:463124,2,361
IDFM:472573,IDFM:monomodalStopPlace:422065,2,21
IDFM:472502,IDFM:470734,2,68
IDFM:33956,IDFM:470606,2,245
IDFM:472426,IDFM:monomodalStopPlace:411332,2,5
IDFM:471597,IDFM:monomodalStopPlace:47447,2,79
IDFM:22052,IDFM:462973,2,14
IDFM:471063,IDFM:470624,2,51
IDFM:471186,IDFM:471968,2,125
IDFM:470947,IDFM:470879,2,110
IDFM:473921,IDFM:463158,2,275
IDFM:470949,IDFM:monomodalStopPlace:474205,2,44
IDFM:411277,IDFM:472994,2,21
IDFM:471693,IDFM:470679,2,5
IDFM:463072,IDFM:22018,2,120
IDFM:monomodalStopPlace:473876,IDFM:472806,2,116
IDFM:471917,IDFM:471309,2,288
IDFM:471964,IDFM:472777,2,186
IDFM:470907,IDFM:470743,2,252
IDFM:471721,IDFM:463183,2,236
IDFM:422956,IDFM:471427,2,32
IDFM:462953,IDFM:22234,2,10
IDFM:471451,IDFM:470924,2,14
IDFM:471925,IDFM:monomodalStopPlace:43244,2,209
IDFM:monomodalStopPlace:43536,IDFM:463193,2,300
IDFM:monomodalStopPlace:471031,IDFM:463024,2,348
IDFM:472396,IDFM:472094,2,82
IDFM:474023,IDFM:474021,2,11
IDFM:471869,IDFM:471240,2,247
IDFM:monomodalStopPlace:45346,IDFM:21972,2,240
IDFM:471742,IDFM:471135,2,6
IDFM:471962,IDFM:472878,2,34
IDFM:472128,IDFM:471094,2,231
IDFM:471654,IDFM:monomodalStopPlace:473595,2,255
IDFM:monomodalStopPlace:47885,IDFM:491800,2,214
IDFM:472627,IDFM:471566,2,168
IDFM:472546,IDFM:monomodalStopPlace:473237,2,315
IDFM:483774,IDFM:monomodalStopPlace:473509,2,6
IDFM:monomodalStopPlace:43216,IDFM:471026,2,15
IDFM:471361,IDFM:471862,2,15
IDFM:471834,IDFM:monomodalStopPlace:473445,2,68
IDFM:473015,IDFM:471756,2,183
IDFM:471749,IDFM:471015,2,21
IDFM:471091,IDFM:monomodalStopPlace:427872,2,13
IDFM:471346,IDFM:4003,2,137
IDFM:monomodalStopPlace:470519,IDFM:471559,2,118
IDFM:3823,IDFM:471145,2,270
IDFM:472546,IDFM:22032,2,248
IDFM:2824,IDFM:monomodalStopPlace:48097,2,8
IDFM:471085,IDFM:472614,2,54
IDFM:471759,IDFM:471094,2,109
IDFM:463265,IDFM:22369,2,13
IDFM:21921,IDFM:463036,2,14
IDFM:463223,IDFM:21999,2,13
IDFM:471905,IDFM:472766,2,18
IDFM:462998,IDFM:473916,2,378
IDFM:470886,IDFM:471253,2,111
