shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"7-CG34-000-0083",39.304598,8.965811,1,
"7-CG34-000-0083",39.30417,8.940507,2,
"7-CG34-000-0083",39.297006,8.813079,3,
"7-CG34-000-0083",39.294813,8.641988,4,
"7-CG34-000-0083",39.169508,8.509185,5,
"7-CG34-000-0083",39.163526,8.513212,6,
"7-CG170-001-0083",39.304598,8.965811,1,
"7-CG170-001-0083",39.30417,8.940507,2,
"7-CG170-001-0083",39.297006,8.813079,3,
"7-CG170-001-0083",39.294813,8.641988,4,
"7-CG170-001-0083",39.169508,8.509185,5,
"7-CG170-001-0083",39.163526,8.513212,6,
"7-CG168-002-0083",39.304598,8.965811,1,
"7-CG168-002-0083",39.30417,8.940507,2,
"7-CG168-002-0083",39.297006,8.813079,3,
"7-CG168-002-0083",39.294813,8.641988,4,
"7-CG168-002-0083",39.310571,8.539796,5,
"7-CG166-003-0083",39.304598,8.965811,1,
"7-CG166-003-0083",39.30417,8.940507,2,
"7-CG166-003-0083",39.297006,8.813079,3,
"7-CG166-003-0083",39.294813,8.641988,4,
"7-CG166-003-0083",39.169508,8.509185,5,
"7-CG166-003-0083",39.163526,8.513212,6,
"7-CG164-004-0083",39.304598,8.965811,1,
"7-CG164-004-0083",39.30417,8.940507,2,
"7-CG164-004-0083",39.297006,8.813079,3,
"7-CG164-004-0083",39.294813,8.641988,4,
"7-CG164-004-0083",39.310571,8.539796,5,
"7-CG162-005-0083",39.304598,8.965811,1,
"7-CG162-005-0083",39.30417,8.940507,2,
"7-CG162-005-0083",39.297006,8.813079,3,
"7-CG162-005-0083",39.294813,8.641988,4,
"7-CG162-005-0083",39.169508,8.509185,5,
"7-CG162-005-0083",39.163526,8.513212,6,
"7-CG161-006-0083",39.310571,8.539796,1,
"7-CG161-006-0083",39.294813,8.641988,2,
"7-CG161-006-0083",39.297006,8.813079,3,
"7-CG161-006-0083",39.30417,8.940507,4,
"7-CG161-006-0083",39.304598,8.965811,5,
"7-CG160-007-0083",39.304598,8.965811,1,
"7-CG160-007-0083",39.30417,8.940507,2,
"7-CG160-007-0083",39.297006,8.813079,3,
"7-CG160-007-0083",39.294813,8.641988,4,
"7-CG160-007-0083",39.310571,8.539796,5,
"7-CG159-008-0083",39.163526,8.513212,1,
"7-CG159-008-0083",39.169508,8.509185,2,
"7-CG159-008-0083",39.294813,8.641988,3,
"7-CG159-008-0083",39.297006,8.813079,4,
"7-CG159-008-0083",39.30417,8.940507,5,
"7-CG159-008-0083",39.304598,8.965811,6,
"7-CG158-009-0083",39.304598,8.965811,1,
"7-CG158-009-0083",39.30417,8.940507,2,
"7-CG158-009-0083",39.297006,8.813079,3,
"7-CG158-009-0083",39.294813,8.641988,4,
"7-CG158-009-0083",39.169508,8.509185,5,
"7-CG158-009-0083",39.163526,8.513212,6,
"7-CG157-00A-0083",39.310571,8.539796,1,
"7-CG157-00A-0083",39.294813,8.641988,2,
"7-CG157-00A-0083",39.297006,8.813079,3,
"7-CG157-00A-0083",39.30417,8.940507,4,
"7-CG157-00A-0083",39.304598,8.965811,5,
"7-CG156-00B-0083",39.304598,8.965811,1,
"7-CG156-00B-0083",39.30417,8.940507,2,
"7-CG156-00B-0083",39.297006,8.813079,3,
"7-CG156-00B-0083",39.294813,8.641988,4,
"7-CG156-00B-0083",39.310571,8.539796,5,
"7-CG155-00C-0083",39.163526,8.513212,1,
"7-CG155-00C-0083",39.169508,8.509185,2,
"7-CG155-00C-0083",39.294813,8.641988,3,
"7-CG155-00C-0083",39.297006,8.813079,4,
"7-CG155-00C-0083",39.30417,8.940507,5,
"7-CG155-00C-0083",39.304598,8.965811,6,
"7-CG154-00D-0083",39.304598,8.965811,1,
"7-CG154-00D-0083",39.30417,8.940507,2,
"7-CG154-00D-0083",39.297006,8.813079,3,
"7-CG154-00D-0083",39.294813,8.641988,4,
"7-CG154-00D-0083",39.169508,8.509185,5,
"7-CG154-00D-0083",39.163526,8.513212,6,
"7-CG153-00E-0083",39.310571,8.539796,1,
"7-CG153-00E-0083",39.294813,8.641988,2,
"7-CG153-00E-0083",39.297006,8.813079,3,
"7-CG153-00E-0083",39.30417,8.940507,4,
"7-CG153-00E-0083",39.304598,8.965811,5,
"7-CG152-00F-0083",39.304598,8.965811,1,
"7-CG152-00F-0083",39.30417,8.940507,2,
"7-CG152-00F-0083",39.297006,8.813079,3,
"7-CG152-00F-0083",39.294813,8.641988,4,
"7-CG152-00F-0083",39.310571,8.539796,5,
"7-CG151-010-0083",39.163526,8.513212,1,
"7-CG151-010-0083",39.169508,8.509185,2,
"7-CG151-010-0083",39.294813,8.641988,3,
"7-CG151-010-0083",39.297006,8.813079,4,
"7-CG151-010-0083",39.30417,8.940507,5,
"7-CG151-010-0083",39.304598,8.965811,6,
"7-CG150-011-0083",39.304598,8.965811,1,
"7-CG150-011-0083",39.30417,8.940507,2,
"7-CG150-011-0083",39.297006,8.813079,3,
"7-CG150-011-0083",39.294813,8.641988,4,
"7-CG150-011-0083",39.169508,8.509185,5,
"7-CG150-011-0083",39.163526,8.513212,6,
"7-CG149-012-0083",39.310571,8.539796,1,
"7-CG149-012-0083",39.294813,8.641988,2,
"7-CG149-012-0083",39.297006,8.813079,3,
"7-CG149-012-0083",39.30417,8.940507,4,
"7-CG149-012-0083",39.304598,8.965811,5,
"7-CG148-013-0083",39.304598,8.965811,1,
"7-CG148-013-0083",39.30417,8.940507,2,
"7-CG148-013-0083",39.297006,8.813079,3,
"7-CG148-013-0083",39.294813,8.641988,4,
"7-CG148-013-0083",39.310571,8.539796,5,
"7-CG147-014-0083",39.163526,8.513212,1,
"7-CG147-014-0083",39.169508,8.509185,2,
"7-CG147-014-0083",39.294813,8.641988,3,
"7-CG147-014-0083",39.297006,8.813079,4,
"7-CG147-014-0083",39.30417,8.940507,5,
"7-CG147-014-0083",39.304598,8.965811,6,
"7-CG146-015-0083",39.304598,8.965811,1,
"7-CG146-015-0083",39.30417,8.940507,2,
"7-CG146-015-0083",39.297006,8.813079,3,
"7-CG146-015-0083",39.294813,8.641988,4,
"7-CG146-015-0083",39.310571,8.539796,5,
"7-CG145-016-0083",39.310571,8.539796,1,
"7-CG145-016-0083",39.294813,8.641988,2,
"7-CG145-016-0083",39.297006,8.813079,3,
"7-CG145-016-0083",39.30417,8.940507,4,
"7-CG145-016-0083",39.304598,8.965811,5,
"7-CG144-017-0083",39.304598,8.965811,1,
"7-CG144-017-0083",39.30417,8.940507,2,
"7-CG144-017-0083",39.297006,8.813079,3,
"7-CG144-017-0083",39.294813,8.641988,4,
"7-CG144-017-0083",39.169508,8.509185,5,
"7-CG144-017-0083",39.163526,8.513212,6,
"7-CG143-018-0083",39.163526,8.513212,1,
"7-CG143-018-0083",39.169508,8.509185,2,
"7-CG143-018-0083",39.294813,8.641988,3,
"7-CG143-018-0083",39.297006,8.813079,4,
"7-CG143-018-0083",39.30417,8.940507,5,
"7-CG143-018-0083",39.304598,8.965811,6,
"7-CG142-019-0083",39.304598,8.965811,1,
"7-CG142-019-0083",39.30417,8.940507,2,
"7-CG142-019-0083",39.297006,8.813079,3,
"7-CG142-019-0083",39.294813,8.641988,4,
"7-CG142-019-0083",39.310571,8.539796,5,
"7-CG141-01A-0083",39.310571,8.539796,1,
"7-CG141-01A-0083",39.294813,8.641988,2,
"7-CG141-01A-0083",39.297006,8.813079,3,
"7-CG141-01A-0083",39.30417,8.940507,4,
"7-CG141-01A-0083",39.304598,8.965811,5,
"7-CG140-01B-0083",39.304598,8.965811,1,
"7-CG140-01B-0083",39.30417,8.940507,2,
"7-CG140-01B-0083",39.297006,8.813079,3,
"7-CG140-01B-0083",39.294813,8.641988,4,
"7-CG140-01B-0083",39.169508,8.509185,5,
"7-CG140-01B-0083",39.163526,8.513212,6,
"7-CG139-01C-0083",39.163526,8.513212,1,
"7-CG139-01C-0083",39.169508,8.509185,2,
"7-CG139-01C-0083",39.294813,8.641988,3,
"7-CG139-01C-0083",39.297006,8.813079,4,
"7-CG139-01C-0083",39.30417,8.940507,5,
"7-CG139-01C-0083",39.304598,8.965811,6,
"7-CG138-01D-0083",39.304598,8.965811,1,
"7-CG138-01D-0083",39.30417,8.940507,2,
"7-CG138-01D-0083",39.297006,8.813079,3,
"7-CG138-01D-0083",39.294813,8.641988,4,
"7-CG138-01D-0083",39.169508,8.509185,5,
"7-CG138-01D-0083",39.163526,8.513212,6,
"7-CG137-01E-0083",39.310571,8.539796,1,
"7-CG137-01E-0083",39.294813,8.641988,2,
"7-CG137-01E-0083",39.297006,8.813079,3,
"7-CG137-01E-0083",39.30417,8.940507,4,
"7-CG137-01E-0083",39.304598,8.965811,5,
"7-CG136-01F-0083",39.304598,8.965811,1,
"7-CG136-01F-0083",39.30417,8.940507,2,
"7-CG136-01F-0083",39.297006,8.813079,3,
"7-CG136-01F-0083",39.294813,8.641988,4,
"7-CG136-01F-0083",39.310571,8.539796,5,
"7-CG134-020-0083",39.304598,8.965811,1,
"7-CG134-020-0083",39.30417,8.940507,2,
"7-CG134-020-0083",39.297006,8.813079,3,
"7-CG134-020-0083",39.294813,8.641988,4,
"7-CG134-020-0083",39.169508,8.509185,5,
"7-CG134-020-0083",39.163526,8.513212,6,
"7-CG133-021-0083",39.163526,8.513212,1,
"7-CG133-021-0083",39.169508,8.509185,2,
"7-CG133-021-0083",39.294813,8.641988,3,
"7-CG133-021-0083",39.297006,8.813079,4,
"7-CG133-021-0083",39.30417,8.940507,5,
"7-CG133-021-0083",39.304598,8.965811,6,
"7-CG132-022-0083",39.304598,8.965811,1,
"7-CG132-022-0083",39.30417,8.940507,2,
"7-CG132-022-0083",39.297006,8.813079,3,
"7-CG132-022-0083",39.294813,8.641988,4,
"7-CG132-022-0083",39.310571,8.539796,5,
"7-CG131-023-0083",39.310571,8.539796,1,
"7-CG131-023-0083",39.294813,8.641988,2,
"7-CG131-023-0083",39.297006,8.813079,3,
"7-CG131-023-0083",39.30417,8.940507,4,
"7-CG131-023-0083",39.304598,8.965811,5,
"7-CG129-024-0083",39.163526,8.513212,1,
"7-CG129-024-0083",39.169508,8.509185,2,
"7-CG129-024-0083",39.294813,8.641988,3,
"7-CG129-024-0083",39.297006,8.813079,4,
"7-CG129-024-0083",39.30417,8.940507,5,
"7-CG129-024-0083",39.304598,8.965811,6,
"7-CG128-025-0083",39.304598,8.965811,1,
"7-CG128-025-0083",39.30417,8.940507,2,
"7-CG128-025-0083",39.297006,8.813079,3,
"7-CG128-025-0083",39.294813,8.641988,4,
"7-CG128-025-0083",39.169508,8.509185,5,
"7-CG128-025-0083",39.163526,8.513212,6,
"7-CG127-026-0083",39.310571,8.539796,1,
"7-CG127-026-0083",39.294813,8.641988,2,
"7-CG127-026-0083",39.297006,8.813079,3,
"7-CG127-026-0083",39.30417,8.940507,4,
"7-CG127-026-0083",39.304598,8.965811,5,
"7-CG126-027-0083",39.304598,8.965811,1,
"7-CG126-027-0083",39.30417,8.940507,2,
"7-CG126-027-0083",39.297006,8.813079,3,
"7-CG126-027-0083",39.294813,8.641988,4,
"7-CG126-027-0083",39.310571,8.539796,5,
"7-CG125-028-0083",39.163526,8.513212,1,
"7-CG125-028-0083",39.169508,8.509185,2,
"7-CG125-028-0083",39.294813,8.641988,3,
"7-CG125-028-0083",39.297006,8.813079,4,
"7-CG125-028-0083",39.30417,8.940507,5,
"7-CG125-028-0083",39.304598,8.965811,6,
"7-CG124-029-0083",39.304598,8.965811,1,
"7-CG124-029-0083",39.30417,8.940507,2,
"7-CG124-029-0083",39.297006,8.813079,3,
"7-CG124-029-0083",39.294813,8.641988,4,
"7-CG124-029-0083",39.169508,8.509185,5,
"7-CG124-029-0083",39.163526,8.513212,6,
"7-CG123-02A-0083",39.310571,8.539796,1,
"7-CG123-02A-0083",39.294813,8.641988,2,
"7-CG123-02A-0083",39.297006,8.813079,3,
"7-CG123-02A-0083",39.30417,8.940507,4,
"7-CG123-02A-0083",39.304598,8.965811,5,
"7-CG122-02B-0083",39.304598,8.965811,1,
"7-CG122-02B-0083",39.30417,8.940507,2,
"7-CG122-02B-0083",39.297006,8.813079,3,
"7-CG122-02B-0083",39.294813,8.641988,4,
"7-CG122-02B-0083",39.310571,8.539796,5,
"7-CG121-02C-0083",39.163526,8.513212,1,
"7-CG121-02C-0083",39.169508,8.509185,2,
"7-CG121-02C-0083",39.294813,8.641988,3,
"7-CG121-02C-0083",39.297006,8.813079,4,
"7-CG121-02C-0083",39.30417,8.940507,5,
"7-CG121-02C-0083",39.304598,8.965811,6,
"7-CG120-02D-0083",39.304598,8.965811,1,
"7-CG120-02D-0083",39.30417,8.940507,2,
"7-CG120-02D-0083",39.297006,8.813079,3,
"7-CG120-02D-0083",39.294813,8.641988,4,
"7-CG120-02D-0083",39.169508,8.509185,5,
"7-CG120-02D-0083",39.163526,8.513212,6,
"7-CG119-02E-0083",39.310571,8.539796,1,
"7-CG119-02E-0083",39.294813,8.641988,2,
"7-CG119-02E-0083",39.297006,8.813079,3,
"7-CG119-02E-0083",39.30417,8.940507,4,
"7-CG119-02E-0083",39.304598,8.965811,5,
"7-CG118-02F-0083",39.304598,8.965811,1,
"7-CG118-02F-0083",39.30417,8.940507,2,
"7-CG118-02F-0083",39.297006,8.813079,3,
"7-CG118-02F-0083",39.294813,8.641988,4,
"7-CG118-02F-0083",39.310571,8.539796,5,
"7-CG117-030-0083",39.163526,8.513212,1,
"7-CG117-030-0083",39.169508,8.509185,2,
"7-CG117-030-0083",39.294813,8.641988,3,
"7-CG117-030-0083",39.297006,8.813079,4,
"7-CG117-030-0083",39.30417,8.940507,5,
"7-CG117-030-0083",39.304598,8.965811,6,
"7-CG116-031-0083",39.304598,8.965811,1,
"7-CG116-031-0083",39.30417,8.940507,2,
"7-CG116-031-0083",39.297006,8.813079,3,
"7-CG116-031-0083",39.294813,8.641988,4,
"7-CG116-031-0083",39.169508,8.509185,5,
"7-CG116-031-0083",39.163526,8.513212,6,
"7-CG115-032-0083",39.310571,8.539796,1,
"7-CG115-032-0083",39.294813,8.641988,2,
"7-CG115-032-0083",39.297006,8.813079,3,
"7-CG115-032-0083",39.30417,8.940507,4,
"7-CG115-032-0083",39.304598,8.965811,5,
"7-CG114-033-0083",39.304598,8.965811,1,
"7-CG114-033-0083",39.30417,8.940507,2,
"7-CG114-033-0083",39.297006,8.813079,3,
"7-CG114-033-0083",39.294813,8.641988,4,
"7-CG114-033-0083",39.310571,8.539796,5,
"7-CG113-034-0083",39.163526,8.513212,1,
"7-CG113-034-0083",39.169508,8.509185,2,
"7-CG113-034-0083",39.294813,8.641988,3,
"7-CG113-034-0083",39.297006,8.813079,4,
"7-CG113-034-0083",39.30417,8.940507,5,
