trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
7-CG34-000-0083,08:07:00,08:07:00,830012888,1,,,,,1
7-CG34-000-0083,08:27:00,08:28:00,830012954,2,,,,,1
7-CG34-000-0083,08:49:00,08:50:00,830012952,3,,,,,1
7-CG34-000-0083,09:13:00,09:13:00,830013703,4,,,,,1
7-CG170-001-0083,22:36:00,22:36:00,830012888,1,,,,,1
7-CG170-001-0083,22:56:00,22:57:00,830012954,2,,,,,1
7-CG170-001-0083,23:18:00,23:19:00,830012952,3,,,,,1
7-CG170-001-0083,23:42:00,23:42:00,830013703,4,,,,,1
7-CG168-002-0083,22:36:00,22:36:00,830012888,1,,,,,1
7-CG168-002-0083,22:56:00,22:57:00,830012954,2,,,,,1
7-CG168-002-0083,23:18:00,23:19:00,830012952,3,,,,,1
7-CG168-002-0083,23:38:00,23:38:00,830012950,4,,,,,1
7-CG166-003-0083,21:57:00,21:57:00,830012888,1,,,,,1
7-CG166-003-0083,22:17:00,22:18:00,830012954,2,,,,,1
7-CG166-003-0083,22:39:00,22:40:00,830012952,3,,,,,1
7-CG166-003-0083,23:03:00,23:03:00,830013703,4,,,,,1
7-CG164-004-0083,21:57:00,21:57:00,830012888,1,,,,,1
7-CG164-004-0083,22:17:00,22:18:00,830012954,2,,,,,1
7-CG164-004-0083,22:39:00,22:40:00,830012952,3,,,,,1
7-CG164-004-0083,22:59:00,22:59:00,830012950,4,,,,,1
7-CG162-005-0083,21:36:00,21:36:00,830012888,1,,,,,1
7-CG162-005-0083,21:56:00,21:57:00,830012954,2,,,,,1
7-CG162-005-0083,22:18:00,22:19:00,830012952,3,,,,,1
7-CG162-005-0083,22:42:00,22:42:00,830013703,4,,,,,1
7-CG161-006-0083,21:46:00,21:46:00,830012950,1,,,,,1
7-CG161-006-0083,22:00:00,22:01:00,830012952,2,,,,,1
7-CG161-006-0083,22:19:00,22:20:00,830012954,3,,,,,1
7-CG161-006-0083,22:40:00,22:40:00,830012888,4,,,,,1
7-CG160-007-0083,21:36:00,21:36:00,830012888,1,,,,,1
7-CG160-007-0083,21:56:00,21:57:00,830012954,2,,,,,1
7-CG160-007-0083,22:18:00,22:19:00,830012952,3,,,,,1
7-CG160-007-0083,22:38:00,22:38:00,830012950,4,,,,,1
7-CG159-008-0083,21:38:00,21:38:00,830013703,1,,,,,1
7-CG159-008-0083,22:00:00,22:01:00,830012952,2,,,,,1
7-CG159-008-0083,22:19:00,22:20:00,830012954,3,,,,,1
7-CG159-008-0083,22:40:00,22:40:00,830012888,4,,,,,1
7-CG158-009-0083,21:16:00,21:16:00,830012888,1,,,,,1
7-CG158-009-0083,21:36:00,21:37:00,830012954,2,,,,,1
7-CG158-009-0083,21:58:00,21:59:00,830012952,3,,,,,1
7-CG158-009-0083,22:22:00,22:22:00,830013703,4,,,,,1
7-CG157-00A-0083,20:31:00,20:31:00,830012950,1,,,,,1
7-CG157-00A-0083,20:45:00,20:46:00,830012952,2,,,,,1
7-CG157-00A-0083,21:04:00,21:05:00,830012954,3,,,,,1
7-CG157-00A-0083,21:25:00,21:25:00,830012888,4,,,,,1
7-CG156-00B-0083,21:16:00,21:16:00,830012888,1,,,,,1
7-CG156-00B-0083,21:36:00,21:37:00,830012954,2,,,,,1
7-CG156-00B-0083,21:58:00,21:59:00,830012952,3,,,,,1
7-CG156-00B-0083,22:18:00,22:18:00,830012950,4,,,,,1
7-CG155-00C-0083,20:23:00,20:23:00,830013703,1,,,,,1
7-CG155-00C-0083,20:45:00,20:46:00,830012952,2,,,,,1
7-CG155-00C-0083,21:04:00,21:05:00,830012954,3,,,,,1
7-CG155-00C-0083,21:25:00,21:25:00,830012888,4,,,,,1
7-CG154-00D-0083,20:26:00,20:26:00,830012888,1,,,,,1
7-CG154-00D-0083,20:46:00,20:47:00,830012954,2,,,,,1
7-CG154-00D-0083,21:08:00,21:09:00,830012952,3,,,,,1
7-CG154-00D-0083,21:32:00,21:32:00,830013703,4,,,,,1
7-CG153-00E-0083,20:16:00,20:16:00,830012950,1,,,,,1
7-CG153-00E-0083,20:30:00,20:31:00,830012952,2,,,,,1
7-CG153-00E-0083,20:49:00,20:50:00,830012954,3,,,,,1
7-CG153-00E-0083,21:10:00,21:10:00,830012888,4,,,,,1
7-CG152-00F-0083,20:26:00,20:26:00,830012888,1,,,,,1
7-CG152-00F-0083,20:46:00,20:47:00,830012954,2,,,,,1
7-CG152-00F-0083,21:08:00,21:09:00,830012952,3,,,,,1
7-CG152-00F-0083,21:28:00,21:28:00,830012950,4,,,,,1
7-CG151-010-0083,20:08:00,20:08:00,830013703,1,,,,,1
7-CG151-010-0083,20:30:00,20:31:00,830012952,2,,,,,1
7-CG151-010-0083,20:49:00,20:50:00,830012954,3,,,,,1
7-CG151-010-0083,21:10:00,21:10:00,830012888,4,,,,,1
7-CG150-011-0083,20:07:00,20:07:00,830012888,1,,,,,1
7-CG150-011-0083,20:27:00,20:28:00,830012954,2,,,,,1
7-CG150-011-0083,20:49:00,20:50:00,830012952,3,,,,,1
7-CG150-011-0083,21:13:00,21:13:00,830013703,4,,,,,1
7-CG149-012-0083,20:06:00,20:06:00,830012950,1,,,,,1
7-CG149-012-0083,20:20:00,20:21:00,830012952,2,,,,,1
7-CG149-012-0083,20:39:00,20:40:00,830012954,3,,,,,1
7-CG149-012-0083,21:00:00,21:00:00,830012888,4,,,,,1
7-CG148-013-0083,20:07:00,20:07:00,830012888,1,,,,,1
7-CG148-013-0083,20:27:00,20:28:00,830012954,2,,,,,1
7-CG148-013-0083,20:49:00,20:50:00,830012952,3,,,,,1
7-CG148-013-0083,21:09:00,21:09:00,830012950,4,,,,,1
7-CG147-014-0083,19:58:00,19:58:00,830013703,1,,,,,1
7-CG147-014-0083,20:20:00,20:21:00,830012952,2,,,,,1
7-CG147-014-0083,20:39:00,20:40:00,830012954,3,,,,,1
7-CG147-014-0083,21:00:00,21:00:00,830012888,4,,,,,1
7-CG146-015-0083,19:59:00,19:59:00,830012888,1,,,,,1
7-CG146-015-0083,20:19:00,20:20:00,830012954,2,,,,,1
7-CG146-015-0083,20:41:00,20:42:00,830012952,3,,,,,1
7-CG146-015-0083,21:01:00,21:01:00,830012950,4,,,,,1
7-CG145-016-0083,19:46:00,19:46:00,830012950,1,,,,,1
7-CG145-016-0083,20:00:00,20:01:00,830012952,2,,,,,1
7-CG145-016-0083,20:19:00,20:20:00,830012954,3,,,,,1
7-CG145-016-0083,20:40:00,20:40:00,830012888,4,,,,,1
7-CG144-017-0083,19:59:00,19:59:00,830012888,1,,,,,1
7-CG144-017-0083,20:19:00,20:20:00,830012954,2,,,,,1
7-CG144-017-0083,20:41:00,20:42:00,830012952,3,,,,,1
7-CG144-017-0083,21:05:00,21:05:00,830013703,4,,,,,1
7-CG143-018-0083,19:38:00,19:38:00,830013703,1,,,,,1
7-CG143-018-0083,20:00:00,20:01:00,830012952,2,,,,,1
7-CG143-018-0083,20:19:00,20:20:00,830012954,3,,,,,1
7-CG143-018-0083,20:40:00,20:40:00,830012888,4,,,,,1
7-CG142-019-0083,19:26:00,19:26:00,830012888,1,,,,,1
7-CG142-019-0083,19:46:00,19:47:00,830012954,2,,,,,1
7-CG142-019-0083,20:08:00,20:09:00,830012952,3,,,,,1
7-CG142-019-0083,20:28:00,20:28:00,830012950,4,,,,,1
7-CG141-01A-0083,18:46:00,18:46:00,830012950,1,,,,,1
7-CG141-01A-0083,19:00:00,19:01:00,830012952,2,,,,,1
7-CG141-01A-0083,19:19:00,19:20:00,830012954,3,,,,,1
7-CG141-01A-0083,19:40:00,19:40:00,830012888,4,,,,,1
7-CG140-01B-0083,19:26:00,19:26:00,830012888,1,,,,,1
7-CG140-01B-0083,19:46:00,19:47:00,830012954,2,,,,,1
7-CG140-01B-0083,20:08:00,20:09:00,830012952,3,,,,,1
7-CG140-01B-0083,20:32:00,20:32:00,830013703,4,,,,,1
7-CG139-01C-0083,18:38:00,18:38:00,830013703,1,,,,,1
7-CG139-01C-0083,19:00:00,19:01:00,830012952,2,,,,,1
7-CG139-01C-0083,19:19:00,19:20:00,830012954,3,,,,,1
7-CG139-01C-0083,19:40:00,19:40:00,830012888,4,,,,,1
7-CG138-01D-0083,19:11:00,19:11:00,830012888,1,,,,,1
7-CG138-01D-0083,19:31:00,19:32:00,830012954,2,,,,,1
7-CG138-01D-0083,19:53:00,19:54:00,830012952,3,,,,,1
7-CG138-01D-0083,20:17:00,20:17:00,830013703,4,,,,,1
7-CG137-01E-0083,18:16:00,18:16:00,830012950,1,,,,,1
7-CG137-01E-0083,18:30:00,18:31:00,830012952,2,,,,,1
7-CG137-01E-0083,18:49:00,18:50:00,830012954,3,,,,,1
7-CG137-01E-0083,19:10:00,19:10:00,830012888,4,,,,,1
7-CG136-01F-0083,19:11:00,19:11:00,830012888,1,,,,,1
7-CG136-01F-0083,19:31:00,19:32:00,830012954,2,,,,,1
7-CG136-01F-0083,19:53:00,19:54:00,830012952,3,,,,,1
7-CG136-01F-0083,20:13:00,20:13:00,830012950,4,,,,,1
7-CG134-020-0083,18:36:00,18:36:00,830012888,1,,,,,1
7-CG134-020-0083,18:56:00,18:57:00,830012954,2,,,,,1
7-CG134-020-0083,19:18:00,19:19:00,830012952,3,,,,,1
7-CG134-020-0083,19:42:00,19:42:00,830013703,4,,,,,1
7-CG133-021-0083,18:08:00,18:08:00,830013703,1,,,,,1
7-CG133-021-0083,18:30:00,18:31:00,830012952,2,,,,,1
7-CG133-021-0083,18:49:00,18:50:00,830012954,3,,,,,1
7-CG133-021-0083,19:10:00,19:10:00,830012888,4,,,,,1
7-CG132-022-0083,18:36:00,18:36:00,830012888,1,,,,,1
7-CG132-022-0083,18:56:00,18:57:00,830012954,2,,,,,1
