from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id
830012802,830012802,2,300,,
830012807,830012807,2,300,,
830012808,830012808,2,300,,
830012809,830012809,2,300,,
830012810,830012810,2,300,,
830012816,830012816,2,300,,
830012818,830012818,2,300,,
830012819,830012819,2,300,,
830012851,830012851,2,300,,
830012852,830012852,2,300,,
830012854,830012854,2,300,,
830012855,830012855,2,300,,
830012857,830012857,2,300,,
830012859,830012859,2,300,,
830012860,830012860,2,300,,
830012862,830012862,2,300,,
830012866,830012866,2,300,,
830012867,830012867,2,300,,
830012869,830012869,2,300,,
830012872,830012872,2,300,,
830012873,830012873,2,300,,
830012874,830012874,2,300,,
830012876,830012876,2,300,,
830012878,830012878,2,300,,
830012879,830012879,2,300,,
830012880,830012880,2,300,,
830012882,830012882,2,300,,
830012885,830012885,2,300,,
830012886,830012886,2,300,,
830012887,830012887,2,300,,
830012888,830012888,2,300,,
830012889,830012889,2,300,,
830012890,830012890,2,300,,
830012891,830012891,2,300,,
830012895,830012895,2,300,,
830012896,830012896,2,300,,
830012902,830012902,2,300,,
830012950,830012950,2,300,,
830012952,830012952,2,300,,
830012954,830012954,2,300,,
830013703,830013703,2,300,,
